sku_id,product_name,category,cogs_60d,avg_inventory,turnover_ratio
SKU-09733,Behind Night,Toys,362811.52000000014,8.0,179.0
SKU-08610,Line Subject,Automotive,285146.3400000001,6.0,176.5
SKU-00558,Product Response,Automotive,102654.1,4.0,171.25
SKU-07645,Develop Edge,Toys,142859.46000000005,11.0,170.73
SKU-04533,Board Message,Home & Garden,499043.0400000004,11.0,169.64
SKU-07401,Again Add,Electronics,737628.2099999996,14.0,169.07
SKU-00359,Talk Foot,Electronics,811498.1599999997,13.0,166.69
SKU-00263,Mr Draw,Sports,171266.67999999993,9.0,165.78
SKU-05318,Fight Mention,Electronics,1284787.92,16.0,165.75
SKU-01850,Nice Player,Apparel,812829.8200000001,16.0,160.19
SKU-05268,Day Fish,Sports,46975.999999999985,2.0,160.0
SKU-05243,Really Week,Toys,461527.20000000007,7.0,157.71
SKU-01838,Military Role,Home & Garden,413943.86,8.0,155.37
SKU-00385,Of Among,Sports,162033.62999999998,11.0,154.45
SKU-05069,Concern Exist,Electronics,254940.31,11.0,154.27
SKU-00018,Only List,Health & Beauty,1153121.0399999996,16.0,151.5
SKU-07297,Boy Huge,Electronics,24482.569999999992,17.0,151.12
SKU-07237,Political Couple,Toys,30295.0,11.0,150.91
SKU-04245,Itself Including,Health & Beauty,514432.74,8.0,148.63
SKU-01731,Investment Film,Automotive,786567.1800000002,14.0,145.5
SKU-07693,East Material,Apparel,589614.4200000002,15.0,143.6
SKU-00753,Budget Design,Apparel,67177.11,3.0,143.0
SKU-02570,Across Put,Electronics,80027.43000000004,13.0,135.92
SKU-07941,Stand Western,Toys,475044.1800000001,19.0,135.63
SKU-05031,Different Late,Toys,923387.3,17.0,134.0
SKU-09441,Itself These,Health & Beauty,384142.92000000004,12.0,133.58
SKU-03960,Material Year,Health & Beauty,247385.31999999986,7.0,133.0
SKU-06095,Goal Want,Food & Beverage,163661.52000000002,20.0,131.9
SKU-04731,Everything Computer,Apparel,627597.4900000001,19.0,130.37
SKU-05785,Event Imagine,Health & Beauty,219869.76,12.0,129.25
SKU-04217,Customer Hope,Apparel,450842.6999999999,18.0,128.33
SKU-05994,Behind Herself,Toys,441565.6,13.0,124.92
SKU-05683,Along Stay,Sports,93674.34000000004,18.0,123.0
SKU-07818,Budget Notice,Automotive,832299.7799999996,20.0,120.9
SKU-02083,Life Huge,Sports,546377.68,16.0,119.94
SKU-08363,Happy Whether,Sports,236310.44999999998,13.0,118.69
SKU-09415,Perform Feel,Food & Beverage,233683.6999999999,23.0,118.35
SKU-04477,Glass Exactly,Toys,502219.7999999999,15.0,118.0
SKU-05970,Game Small,Electronics,426540.5199999999,21.0,117.19
SKU-03339,Difficult Church,Apparel,564410.22,19.0,116.95
SKU-02031,Weight Firm,Toys,344027.19000000006,21.0,113.29
SKU-01303,Hospital Suffer,Toys,140381.92,22.0,112.82
SKU-09303,Challenge Station,Food & Beverage,39599.73000000002,4.0,111.75
SKU-03188,Special Close,Home & Garden,266829.05000000005,14.0,109.64
SKU-07042,Machine Can,Food & Beverage,31312.5,23.0,108.91
SKU-04786,Job Contain,Toys,71171.52,14.0,108.07
SKU-03440,Benefit Grow,Electronics,146312.57999999993,18.0,107.83
SKU-06712,Before Stock,Apparel,120778.71999999996,7.0,107.43
SKU-09583,Where Identify,Toys,28365.440000000002,14.0,107.43
SKU-02539,Thousand President,Health & Beauty,1008491.2400000002,20.0,107.3
SKU-09711,Do Mind,Toys,340938.88000000006,20.0,107.2
SKU-07056,Treat Region,Electronics,1031917.7699999999,20.0,106.95
SKU-05659,Gas Indeed,Electronics,123808.0,11.0,106.18
SKU-06787,Pattern Better,Health & Beauty,247853.21000000002,7.0,105.57
SKU-09539,Nice Just,Automotive,410398.59999999974,16.0,105.31
SKU-05692,Property Against,Electronics,1055992.0,23.0,105.3
SKU-02121,Best Of,Health & Beauty,142011.66999999995,4.0,104.75
SKU-05613,Often Raise,Toys,30749.420000000006,10.0,104.2
SKU-06914,Adult Clearly,Toys,103863.49999999994,7.0,103.57
SKU-06337,Current Business,Toys,93178.97999999997,2.0,103.5
SKU-01829,Avoid Apply,Automotive,115072.65000000001,25.0,103.32
SKU-02837,Professional Available,Automotive,83453.50000000001,9.0,102.78
SKU-06558,Share Head,Automotive,325987.4599999999,11.0,102.64
SKU-05900,Might Miss,Toys,166736.92000000007,25.0,102.56
SKU-08874,Already Mrs,Toys,586899.4800000001,14.0,102.36
SKU-04887,Present When,Food & Beverage,50179.789999999964,20.0,101.95
SKU-08259,Per Husband,Health & Beauty,832637.1200000002,26.0,101.85
SKU-04325,Somebody Hot,Automotive,96883.78,14.0,101.5
SKU-09681,Interest Range,Toys,19925.999999999996,1.0,100.0
SKU-03713,Expect Base,Sports,306008.14999999997,11.0,99.73
SKU-01279,Class Century,Sports,1023535.92,21.0,98.48
SKU-01818,Environment Finish,Toys,67787.8,15.0,97.33
SKU-01372,Trip Democrat,Food & Beverage,251700.65999999997,8.0,96.38
SKU-07890,Night Truth,Toys,499254.7400000002,20.0,95.65
SKU-02529,Card Tough,Health & Beauty,169450.37999999998,7.0,95.14
SKU-03515,Rule Manager,Home & Garden,174116.69000000003,20.0,92.35
SKU-09638,Face Situation,Toys,19798.35,30.0,92.3
SKU-04186,Concern To,Home & Garden,469895.78999999986,12.0,91.75
SKU-04775,Thus Almost,Electronics,135372.0,17.0,91.53
SKU-07552,Agreement Health,Sports,1040022.72,26.0,91.38
SKU-02714,Say Their,Home & Garden,460480.7400000002,30.0,90.73
SKU-02599,Reality Mission,Food & Beverage,123669.15000000004,8.0,90.38
SKU-09244,Truth Its,Home & Garden,671602.0800000002,28.0,87.82
SKU-05070,Stage Many,Home & Garden,415449.51000000007,13.0,87.77
SKU-04801,Fine Themselves,Food & Beverage,537984.7199999999,32.0,87.75
SKU-05545,Size Skill,Automotive,871982.5599999999,20.0,87.2
SKU-05287,Peace Throw,Home & Garden,329870.94,14.0,87.0
SKU-06222,Where Arm,Electronics,205744.2000000001,23.0,85.0
SKU-05807,Garden Boy,Electronics,425445.7199999999,17.0,84.94
SKU-05457,However Media,Apparel,493491.75000000006,17.0,83.82
SKU-02319,Argue Staff,Food & Beverage,943866.2399999999,30.0,82.9
SKU-05281,Capital Line,Automotive,888130.3200000001,25.0,82.24
SKU-02742,Offer One,Apparel,998782.16,34.0,82.12
SKU-04674,Stage Dog,Home & Garden,939779.0400000003,24.0,82.0
SKU-05931,Forget Pick,Toys,212917.23999999996,6.0,81.83
SKU-02422,Though Tend,Food & Beverage,1226653.0400000007,33.0,81.7
SKU-00242,Eight Do,Toys,834529.9200000003,32.0,81.38
SKU-04799,Above That,Home & Garden,625423.6799999998,16.0,81.0
SKU-05881,Ground Across,Electronics,464737.5,34.0,81.0
SKU-05533,That Term,Food & Beverage,194863.12999999983,22.0,80.5
SKU-07683,Market Final,Apparel,7284.580000000003,10.0,79.7
SKU-09704,Cover Similar,Health & Beauty,191199.68999999992,29.0,78.52
SKU-03506,Enjoy Money,Apparel,194154.54,9.0,78.11
SKU-02082,Material Take,Home & Garden,359015.3100000001,21.0,77.57
SKU-00494,Material Apply,Automotive,615005.16,17.0,77.53
SKU-08737,Address Around,Toys,255014.4,12.0,77.33
SKU-02194,Community Method,Electronics,863188.4799999996,29.0,77.0
SKU-05636,Building Card,Sports,282527.8400000001,22.0,76.95
SKU-06063,Movie Space,Food & Beverage,474258.0200000001,17.0,76.88
SKU-07201,Rise College,Automotive,6881.700000000002,16.0,76.13
SKU-06026,Contain Them,Sports,196426.2,35.0,75.94
SKU-01102,Claim Could,Apparel,945969.7500000001,27.0,75.37
SKU-09355,Yourself Shoulder,Automotive,1171069.38,36.0,74.75
SKU-00927,Personal Also,Sports,734143.8500000001,24.0,74.71
SKU-07067,Energy Technology,Health & Beauty,416039.2200000001,23.0,74.52
SKU-05091,Economy Develop,Electronics,88090.34000000001,13.0,74.0
SKU-01946,Author Fire,Health & Beauty,526077.22,24.0,73.08
SKU-08419,It Population,Food & Beverage,406977.72,27.0,72.48
SKU-08472,Provide Month,Health & Beauty,68077.17000000001,5.0,71.8
SKU-07854,How Environmental,Home & Garden,227056.1600000001,18.0,71.44
SKU-01278,Bag Mind,Toys,803163.2400000001,32.0,71.44
SKU-06275,Learn Test,Health & Beauty,715194.4700000002,22.0,71.23
SKU-02185,Program Care,Sports,313780.74,30.0,70.7
SKU-08819,Sell International,Automotive,20186.46,37.0,70.22
SKU-05767,Next Certainly,Electronics,208901.69999999987,27.0,70.0
SKU-08875,Protect Person,Food & Beverage,880727.7599999999,29.0,69.41
SKU-05753,Southern Plan,Toys,255805.93999999994,23.0,68.96
SKU-00626,Strong Half,Apparel,167267.9400000001,39.0,68.15
SKU-06505,Information Take,Electronics,997659.6299999999,36.0,68.14
SKU-00399,Hair Ok,Health & Beauty,553477.6799999998,34.0,68.12
SKU-07798,Plant Management,Health & Beauty,103801.95000000001,16.0,67.81
SKU-03591,Model Moment,Electronics,191108.16,36.0,67.33
SKU-08674,But Ready,Toys,1060281.6,41.0,67.32
SKU-02393,Modern Certainly,Health & Beauty,35654.32999999999,34.0,67.26
SKU-01191,Add Camera,Food & Beverage,511986.41999999987,30.0,67.1
SKU-08368,Success Television,Health & Beauty,497475.0,33.0,67.0
SKU-09570,Activity How,Automotive,159385.28000000006,35.0,66.74
SKU-00717,Politics Plan,Food & Beverage,284085.30999999994,17.0,66.06
SKU-08322,Court Few,Sports,613995.4400000001,22.0,65.82
SKU-01795,Hit Describe,Health & Beauty,134170.87999999995,18.0,65.78
SKU-01579,Car Oil,Automotive,338350.32,20.0,65.45
SKU-01421,Rise Whatever,Electronics,67592.24999999997,38.0,65.13
SKU-07865,Certainly Democrat,Food & Beverage,164651.06999999995,11.0,64.45
SKU-08569,Believe Suddenly,Electronics,128800.23000000003,35.0,64.26
SKU-08564,Reflect Civil,Home & Garden,56053.80000000001,42.0,63.86
SKU-08411,He Protect,Apparel,692978.0399999999,24.0,63.5
SKU-00571,Buy They,Automotive,67888.31,10.0,62.3
SKU-00057,Street Himself,Health & Beauty,102598.85999999997,34.0,61.56
SKU-07752,Event Still,Apparel,1115795.9999999995,43.0,61.4
SKU-04083,Bring Board,Toys,173661.87999999992,29.0,60.59
SKU-03697,Trial Factor,Automotive,1020994.0,46.0,60.48
SKU-09337,Expect Chair,Toys,413146.08000000013,30.0,60.27
SKU-08427,Deep Important,Automotive,43930.53,36.0,60.08
SKU-08679,Fish Make,Sports,837478.7300000002,41.0,59.83
SKU-06373,Walk And,Sports,600620.9500000002,32.0,59.41
SKU-05278,Child Ball,Home & Garden,494352.8000000001,27.0,59.41
SKU-00508,Piece Sign,Food & Beverage,844578.5399999997,42.0,59.36
SKU-01503,Never Child,Automotive,500728.75999999983,27.0,59.3
SKU-06082,Especially Keep,Apparel,801273.72,38.0,59.18
SKU-00065,Customer Perform,Toys,274412.0,38.0,58.24
SKU-00798,Their Follow,Toys,258881.40000000005,39.0,57.92
SKU-01076,Interest Cover,Sports,333038.7000000002,44.0,57.84
SKU-06097,Often Color,Home & Garden,534233.44,44.0,57.8
SKU-01501,Animal Break,Food & Beverage,356598.89999999997,26.0,57.62
SKU-08972,Fly School,Toys,24698.240000000005,36.0,57.56
SKU-08529,Forward Worker,Toys,207791.19999999995,37.0,57.19
SKU-02927,Chance Financial,Home & Garden,258071.52000000005,22.0,56.64
SKU-01947,Heart Positive,Electronics,684445.6799999999,34.0,56.38
SKU-05120,Property Put,Apparel,644206.9200000003,44.0,55.95
SKU-07321,Deep Price,Apparel,611224.7100000002,46.0,55.41
SKU-03737,Lose Environment,Sports,666747.7600000001,49.0,55.02
SKU-03936,Drive Young,Apparel,763544.4800000003,38.0,54.82
SKU-07902,Look Woman,Sports,89576.07999999999,20.0,54.8
SKU-06419,Throughout Already,Automotive,289295.7700000001,15.0,54.73
SKU-04060,Scientist Personal,Toys,835576.5,36.0,54.39
SKU-06610,Yard Week,Food & Beverage,814972.8999999998,38.0,54.34
SKU-01288,Such West,Automotive,1128738.9999999998,43.0,54.3
SKU-06022,Child Baby,Home & Garden,316012.4800000002,21.0,54.1
SKU-01395,Five Remember,Sports,1066012.6000000003,47.0,54.04
SKU-08655,Hair Occur,Electronics,604055.8999999999,30.0,53.67
SKU-04901,Point Although,Home & Garden,345076.54000000004,15.0,53.47
SKU-01600,Phone Them,Sports,666918.0,44.0,53.3
SKU-01879,Off Morning,Home & Garden,503513.2100000001,27.0,53.07
SKU-07608,Step Her,Automotive,5955.079999999997,4.0,53.0
SKU-05777,Here Three,Health & Beauty,260053.74999999988,26.0,52.88
SKU-01856,Pretty Local,Apparel,650717.2000000001,41.0,52.41
SKU-02902,Go Paper,Apparel,664331.3200000001,26.0,52.35
SKU-00298,Here Traditional,Toys,71578.31999999998,24.0,52.25
SKU-09726,Indeed Long,Electronics,1015764.9800000003,43.0,52.16
SKU-01670,Case Stop,Home & Garden,288774.75,15.0,52.07
SKU-03002,That Go,Apparel,572149.7400000001,43.0,51.95
SKU-04221,Whole Vote,Electronics,277006.5,37.0,51.81
SKU-03681,Chair It,Electronics,75406.57999999999,12.0,51.58
SKU-00990,Wide Resource,Health & Beauty,265294.98000000004,26.0,51.12
SKU-05025,Standard Spend,Food & Beverage,468632.5,43.0,51.05
SKU-01281,She Available,Apparel,135744.17999999993,10.0,50.7
SKU-00823,Eight Set,Automotive,634668.2899999999,31.0,50.68
SKU-08168,Turn Send,Automotive,158523.74999999997,38.0,50.66
SKU-06306,Price Course,Automotive,372736.0,36.0,50.56
SKU-01792,Record Soon,Automotive,949589.8999999997,46.0,50.24
SKU-08701,Certain Animal,Electronics,213030.09,42.0,50.21
SKU-06316,Develop Week,Apparel,260470.53999999995,55.0,49.95
SKU-06529,Because Difficult,Electronics,564409.2000000001,31.0,49.81
SKU-04084,Effect Tree,Electronics,259150.32000000007,26.0,49.5
SKU-05814,Movement Thought,Health & Beauty,867726.1100000005,57.0,49.35
SKU-08866,Car Upon,Toys,332607.8000000001,21.0,49.33
SKU-04621,Site Describe,Toys,699269.1200000001,42.0,48.76
SKU-05925,Hair Usually,Automotive,437470.98999999976,32.0,48.72
SKU-06201,Himself Bank,Food & Beverage,564755.2,46.0,48.57
SKU-01814,Town Trial,Sports,518857.46000000014,29.0,48.38
SKU-09976,Executive Should,Toys,426299.7899999999,29.0,48.03
SKU-09933,Interesting Civil,Home & Garden,294294.07999999996,56.0,47.71
SKU-03504,Specific Near,Sports,655744.6400000001,48.0,47.33
SKU-00329,Area Group,Health & Beauty,409550.22000000015,44.0,47.32
SKU-06029,Always Teach,Electronics,868153.0999999997,50.0,47.24
SKU-00658,Manager Exist,Food & Beverage,138285.71999999994,58.0,47.14
SKU-03116,Boy Matter,Electronics,366447.8999999999,58.0,47.07
SKU-07041,Each Least,Apparel,608065.2000000001,57.0,47.02
SKU-02649,Rather Short,Toys,553843.1399999999,31.0,46.9
SKU-09942,Put Likely,Electronics,83947.5,5.0,46.8
SKU-07887,Theory Process,Apparel,687598.5999999997,48.0,46.77
SKU-04444,By Put,Home & Garden,477039.45000000007,49.0,46.63
SKU-05832,Pull Under,Home & Garden,568434.7500000001,56.0,46.34
SKU-08577,How Than,Sports,732150.0000000001,54.0,46.3
SKU-08894,Admit Reduce,Health & Beauty,653299.1999999998,55.0,46.25
SKU-03516,Significant Author,Electronics,160428.24000000005,15.0,45.8
SKU-05836,Where First,Sports,61352.71,3.0,45.67
SKU-02022,Question Take,Food & Beverage,880899.3599999999,46.0,45.48
SKU-07522,Event Under,Sports,93972.78000000003,45.0,45.47
SKU-03525,She Whom,Toys,747435.6000000001,39.0,45.38
SKU-04833,Indicate Degree,Home & Garden,30371.52,12.0,45.33
SKU-06165,Daughter To,Food & Beverage,549744.2000000003,27.0,45.19
SKU-09144,Good Perform,Sports,220406.28,44.0,45.14
SKU-04738,Front However,Electronics,807791.9400000005,61.0,44.7
SKU-01255,Debate Check,Sports,750956.4400000001,38.0,44.66
SKU-03929,Project Black,Electronics,452454.72000000015,59.0,44.63
SKU-02722,Baby Society,Sports,169053.25,23.0,44.57
SKU-07679,Financial Include,Electronics,576285.0,42.0,44.4
SKU-07864,Challenge Just,Apparel,133260.15,23.0,44.04
SKU-07411,Medical Decide,Food & Beverage,500335.49999999994,29.0,43.97
SKU-09691,Benefit Discover,Health & Beauty,519166.21999999974,25.0,43.88
SKU-00533,We Well,Electronics,245156.08000000002,39.0,43.64
SKU-02015,Explain Item,Automotive,66189.63000000002,47.0,43.43
SKU-08621,Claim Wonder,Sports,75695.08000000002,20.0,42.95
SKU-07956,Individual Field,Toys,273672.0,21.0,42.86
SKU-04392,Of Risk,Automotive,424938.18999999994,25.0,42.76
SKU-05395,To Top,Home & Garden,334359.12,44.0,42.68
SKU-00874,Boy Television,Electronics,1316167.32,64.0,42.59
SKU-03055,Whose Adult,Food & Beverage,487906.31999999995,36.0,41.86
SKU-07629,Question As,Electronics,517525.78,61.0,41.67
SKU-09285,Manage Often,Food & Beverage,970123.14,62.0,41.66
SKU-01858,Long Fight,Electronics,447047.32,51.0,41.49
SKU-03847,Sure Hope,Home & Garden,918496.8799999997,50.0,41.44
SKU-01782,Would If,Health & Beauty,200782.45,21.0,41.38
SKU-03051,Apply Hard,Health & Beauty,605675.8800000001,57.0,41.37
SKU-01876,People Pick,Health & Beauty,191324.16,67.0,41.31
SKU-08713,Common Activity,Home & Garden,595872.7200000001,64.0,41.06
SKU-01686,Establish Boy,Electronics,413421.04000000015,51.0,41.02
SKU-09367,Oil Room,Electronics,36852.79000000002,63.0,40.65
SKU-03047,Little Teach,Apparel,105374.87999999999,50.0,40.56
SKU-06981,Fall Including,Automotive,42975.59999999999,35.0,40.46
SKU-06725,Window Produce,Automotive,221514.24,19.0,40.42
SKU-01494,Or Catch,Apparel,932353.2000000004,65.0,40.31
SKU-02274,Herself Energy,Apparel,323641.80999999994,65.0,39.86
SKU-05773,Structure Admit,Sports,294069.7199999999,37.0,39.81
SKU-08824,Travel By,Toys,414341.5,62.0,39.66
SKU-02749,For Public,Automotive,983269.9099999998,52.0,39.44
SKU-00572,Last Under,Food & Beverage,252976.5,68.0,39.37
SKU-06895,Hope Far,Home & Garden,458700.7599999996,51.0,39.14
SKU-01973,Course Church,Food & Beverage,271103.67000000004,46.0,38.93
SKU-09161,Until Blue,Toys,791284.8000000002,48.0,38.92
SKU-03317,Mother Movie,Home & Garden,730316.46,70.0,38.49
SKU-05235,Majority Set,Food & Beverage,552333.6,71.0,38.45
SKU-08768,Business History,Food & Beverage,655118.9999999999,54.0,38.43
SKU-09308,Actually Economic,Toys,443713.2199999999,71.0,38.34
SKU-09577,Protect Reason,Sports,113855.62999999999,44.0,38.34
SKU-00622,Fight Cause,Apparel,1007417.6000000002,59.0,38.31
SKU-02218,Yes Buy,Electronics,1116155.0,62.0,38.0
SKU-06893,Decide Production,Electronics,635619.3599999999,65.0,37.98
SKU-02982,Ability Today,Health & Beauty,452684.6400000001,47.0,37.79
SKU-07376,Than Hour,Automotive,385799.12,53.0,37.62
SKU-08734,Political Page,Toys,901578.81,70.0,37.24
SKU-08748,Window Price,Automotive,792325.8000000003,61.0,37.18
SKU-07010,Again Skill,Electronics,75824.46,6.0,37.17
SKU-09104,Scene Recent,Toys,195816.52000000005,20.0,36.7
SKU-06853,That Five,Food & Beverage,240578.16,58.0,36.66
SKU-03546,With Prepare,Electronics,470333.2399999998,44.0,36.64
SKU-04839,Network Front,Health & Beauty,1121892.9599999995,62.0,36.56
SKU-00915,Work Force,Home & Garden,295953.68,44.0,36.5
SKU-01931,Contain Thing,Health & Beauty,182936.0,57.0,36.49
SKU-00372,Drop He,Health & Beauty,1222910.1600000001,69.0,36.43
SKU-08761,Discuss Scene,Sports,91150.16000000002,12.0,36.33
SKU-02503,Player Artist,Electronics,121690.16,25.0,36.32
SKU-09273,Capital Response,Sports,848830.6399999997,75.0,36.19
SKU-06992,Available Themselves,Health & Beauty,259826.4,69.0,36.0
SKU-07801,Girl Identify,Automotive,570856.3400000003,65.0,35.98
SKU-09713,Reveal Sell,Apparel,66179.61000000002,40.0,35.97
SKU-09804,Mean That,Home & Garden,154648.09999999998,75.0,35.87
SKU-05489,Lose Price,Apparel,79648.72000000004,26.0,35.85
SKU-08091,Idea Yes,Apparel,182582.87999999998,71.0,35.83
SKU-06136,Democratic Everyone,Automotive,254604.63000000012,57.0,35.74
SKU-08242,Street Hope,Automotive,171023.99999999997,59.0,35.59
SKU-05015,Instead But,Electronics,183814.40000000002,21.0,35.52
SKU-01571,Nothing College,Apparel,214655.60999999993,56.0,35.48
SKU-00112,Choose Single,Toys,28305.480000000003,37.0,35.19
SKU-03931,Sometimes Song,Health & Beauty,620929.54,60.0,35.02
SKU-03078,Relate Soldier,Toys,181646.85,11.0,35.0
SKU-07394,Mother Pay,Apparel,1261516.1399999994,74.0,34.99
SKU-00092,Appear Likely,Home & Garden,28791.04,31.0,34.97
SKU-01893,School Camera,Sports,502144.08,42.0,34.95
SKU-03614,Pm Yourself,Food & Beverage,36577.380000000005,44.0,34.84
SKU-02325,Recent Point,Food & Beverage,159993.68,24.0,34.83
SKU-02311,Program Huge,Automotive,520146.9900000001,45.0,34.6
SKU-05532,Well Car,Automotive,1087440.9600000004,77.0,34.52
SKU-07990,Task Professor,Sports,235415.7200000001,41.0,34.37
SKU-08741,Character Chair,Home & Garden,360204.39,21.0,34.33
SKU-07827,Personal He,Electronics,70434.27,77.0,34.25
SKU-05247,Nearly Us,Electronics,190007.82000000015,79.0,34.1
SKU-09348,Adult Fear,Apparel,1041945.1800000009,73.0,34.1
SKU-05326,Hard Near,Home & Garden,799092.0,80.0,33.98
SKU-02860,Summer Far,Toys,123937.01999999999,25.0,33.96
SKU-05236,Use Rise,Electronics,446082.0,42.0,33.93
SKU-01779,Product Station,Health & Beauty,837012.6599999998,79.0,33.7
SKU-01774,Read Trade,Home & Garden,576051.27,61.0,33.66
SKU-02483,Voice Evidence,Sports,59441.76000000001,10.0,33.6
SKU-01375,Somebody Glass,Food & Beverage,723433.7899999997,56.0,33.55
SKU-08042,Another Number,Automotive,230505.05000000002,67.0,33.42
SKU-08976,Indeed Home,Toys,931724.9299999998,80.0,33.39
SKU-07868,Federal Manager,Sports,166571.68,80.0,33.33
SKU-02618,Will Full,Toys,42140.02,80.0,33.21
SKU-06948,Staff Use,Toys,843215.5800000004,51.0,33.2
SKU-04978,Wish Recent,Toys,134071.0,54.0,33.15
SKU-06432,Analysis Building,Sports,275419.80000000005,24.0,33.13
SKU-08178,Image Everyone,Apparel,734013.1000000002,80.0,33.09
SKU-09017,Particularly Upon,Automotive,834288.5,62.0,33.06
SKU-09493,Visit Present,Apparel,1018304.7599999999,71.0,33.04
SKU-01441,War Matter,Electronics,252081.00000000006,28.0,33.04
SKU-03839,Must Student,Sports,478326.4000000001,65.0,32.98
SKU-00784,Cost Become,Home & Garden,170458.23999999987,55.0,32.87
SKU-04745,Likely People,Automotive,597624.73,84.0,32.51
SKU-00160,Field Page,Home & Garden,71423.46999999999,37.0,32.46
SKU-03636,People Here,Health & Beauty,144664.10000000006,46.0,32.39
SKU-00592,Anything With,Health & Beauty,417062.82999999996,41.0,32.37
SKU-08625,Guy Turn,Electronics,879217.07,71.0,32.27
SKU-09655,Cold World,Apparel,171136.79999999996,69.0,32.23
SKU-04564,Another Speak,Sports,450287.46000000014,58.0,32.1
SKU-05676,Each Conference,Electronics,601633.32,67.0,32.06
SKU-04364,So Dinner,Sports,828331.5599999999,80.0,31.97
SKU-07806,Smile Wind,Automotive,828311.2000000002,70.0,31.86
SKU-04288,Major Partner,Electronics,80759.90000000002,47.0,31.81
SKU-03543,Significant Wear,Sports,587090.5599999998,49.0,31.67
SKU-06188,Large Course,Automotive,537189.7799999998,82.0,31.54
SKU-05394,Environmental Important,Electronics,745418.85,87.0,31.48
SKU-00525,Edge Available,Apparel,478770.11999999994,38.0,31.42
SKU-06593,Change Provide,Electronics,1003437.2799999996,77.0,31.38
SKU-06431,Skill Other,Toys,210226.08,26.0,31.38
