sku_id,product_name,category,supplier_id,lead_time_days,reorder_point,unit_cost
SKU-00090,Claim Begin,Apparel,SUP-124,15,339,133.82
SKU-00091,Table Purpose,Health & Beauty,SUP-053,12,306,184.94
SKU-00092,Appear Likely,Home & Garden,SUP-010,22,358,26.56
SKU-00093,Carry Industry,Apparel,SUP-112,26,327,327.44
SKU-00094,From Beautiful,Automotive,SUP-008,15,238,355.19
SKU-00095,Couple Chair,Automotive,SUP-036,19,455,464.57
SKU-00096,Human Movie,Automotive,SUP-106,9,227,170.07
SKU-00097,Hospital Style,Apparel,SUP-014,8,65,130.54
SKU-00098,Wish Interview,Home & Garden,SUP-182,15,461,363.73
SKU-00099,Nothing Image,Automotive,SUP-086,19,424,354.13
SKU-00100,Top Without,Sports,SUP-149,17,135,468.72
SKU-00101,Ask Bit,Toys,SUP-050,6,297,104.65
SKU-00102,Professor Today,Apparel,SUP-167,17,266,353.38
SKU-00103,South Him,Apparel,SUP-020,16,91,35.77
SKU-00104,Some In,Home & Garden,SUP-087,23,243,241.48
SKU-00105,Administration Record,Apparel,SUP-135,13,376,61.9
SKU-00106,Speech Speech,Apparel,SUP-137,26,422,327.44
SKU-00107,Interesting Visit,Automotive,SUP-129,6,212,301.73
SKU-00108,Key Eye,Home & Garden,SUP-154,5,325,26.79
SKU-00109,Spend Close,Automotive,SUP-166,4,413,161.51
SKU-00110,Style Politics,Toys,SUP-038,22,179,199.03
SKU-00111,Approach Check,Health & Beauty,SUP-189,29,312,125.91
SKU-00112,Choose Single,Toys,SUP-044,12,226,21.74
SKU-00113,Which Every,Health & Beauty,SUP-086,15,314,161.11
SKU-00114,About Civil,Automotive,SUP-044,22,76,396.83
SKU-00115,Teacher Education,Toys,SUP-074,28,435,181.65
SKU-00116,Free Race,Home & Garden,SUP-119,23,134,163.38
SKU-00117,Top Usually,Electronics,SUP-190,25,245,471.02
SKU-00118,Move They,Automotive,SUP-122,27,365,23.21
SKU-00119,Trade Detail,Health & Beauty,SUP-134,20,292,384.23
SKU-00120,Rise Again,Sports,SUP-145,23,417,242.84
SKU-00121,Argue Already,Health & Beauty,SUP-051,18,391,472.37
SKU-00122,Friend Bill,Sports,SUP-038,13,226,198.25
SKU-00123,When Continue,Apparel,SUP-152,12,179,354.75
SKU-00124,Result Information,Toys,SUP-051,11,194,37.29
SKU-00125,Nothing Easy,Sports,SUP-010,14,132,464.56
SKU-00126,Step Idea,Health & Beauty,SUP-120,21,409,173.91
SKU-00127,Top Me,Apparel,SUP-149,3,137,263.19
SKU-00128,Read Threat,Electronics,SUP-070,20,69,71.39
SKU-00129,Measure Listen,Home & Garden,SUP-085,16,279,472.92
SKU-00130,Anything Tv,Home & Garden,SUP-057,24,175,337.3
SKU-00131,Be Economy,Home & Garden,SUP-126,23,403,29.34
SKU-00132,Movie Single,Sports,SUP-039,3,465,79.72
SKU-00133,Let I,Electronics,SUP-033,19,100,201.42
SKU-00134,Past Share,Sports,SUP-187,13,137,110.34
SKU-00135,Clear Soldier,Toys,SUP-018,22,219,154.05
SKU-00136,Raise Option,Sports,SUP-184,17,112,498.75
SKU-00137,Arm Hospital,Electronics,SUP-057,6,138,330.18
SKU-00138,Leader Sea,Electronics,SUP-096,17,238,461.3
SKU-00139,Within However,Toys,SUP-048,24,239,219.31
SKU-00140,During Argue,Electronics,SUP-042,24,436,355.87
SKU-00141,Majority Government,Health & Beauty,SUP-027,28,138,231.2
SKU-00142,Agree Effect,Electronics,SUP-074,16,397,165.79
SKU-00143,Now Sister,Home & Garden,SUP-110,24,381,260.79
SKU-00144,Hear Vote,Health & Beauty,SUP-180,3,75,215.09
SKU-00145,Medical Part,Health & Beauty,SUP-170,28,225,490.32
SKU-00146,Cut Per,Toys,SUP-032,11,413,249.34
SKU-00147,Social Have,Food & Beverage,SUP-026,29,313,406.03
SKU-00148,Follow Born,Food & Beverage,SUP-025,9,438,334.24
SKU-00149,Fly More,Electronics,SUP-075,25,444,241.11
SKU-00150,Program Turn,Health & Beauty,SUP-023,13,91,238.39
SKU-00151,Call Group,Food & Beverage,SUP-057,25,168,172.59
SKU-00152,Resource Off,Food & Beverage,SUP-180,4,218,55.72
SKU-00153,Air Same,Electronics,SUP-126,4,157,381.33
SKU-00154,Create Position,Food & Beverage,SUP-087,8,196,459.25
SKU-00155,Employee Could,Sports,SUP-031,25,225,110.93
SKU-00156,Operation Analysis,Apparel,SUP-064,21,486,463.02
SKU-00157,Every Exactly,Toys,SUP-199,22,488,118.07
SKU-00158,Goal Pay,Apparel,SUP-033,16,425,266.21
SKU-00159,Human Station,Electronics,SUP-002,5,238,173.45
SKU-00160,Field Page,Home & Garden,SUP-018,9,209,59.47
SKU-00161,Center Admit,Toys,SUP-175,9,351,28.79
SKU-00162,Maybe Box,Electronics,SUP-161,6,397,184.26
SKU-00163,Fly Collection,Health & Beauty,SUP-084,25,469,26.05
SKU-00164,Condition Card,Home & Garden,SUP-035,7,451,54.34
SKU-00165,Product Cold,Apparel,SUP-179,19,123,73.29
SKU-00166,Thank Us,Electronics,SUP-114,28,401,3.45
SKU-00167,West Agent,Health & Beauty,SUP-146,6,67,78.74
SKU-00168,Should Go,Toys,SUP-110,25,189,289.7
SKU-00169,Each Able,Toys,SUP-088,15,164,410.21
SKU-00170,Necessary Local,Automotive,SUP-072,18,377,98.73
SKU-00171,Staff Security,Health & Beauty,SUP-125,18,274,42.73
SKU-00172,Agent Imagine,Sports,SUP-030,4,95,365.43
SKU-00173,Quickly Mrs,Food & Beverage,SUP-172,20,488,6.56
SKU-00174,Explain Add,Home & Garden,SUP-053,3,87,367.75
SKU-00175,Rather Appear,Health & Beauty,SUP-138,20,255,67.73
SKU-00176,Though Leg,Automotive,SUP-087,28,435,116.07
SKU-00177,Imagine Blood,Food & Beverage,SUP-180,10,58,62.23
SKU-00178,Member Concern,Food & Beverage,SUP-177,13,302,125.55
SKU-00179,Wind Reflect,Electronics,SUP-139,26,157,399.59
SKU-00180,Nice Table,Food & Beverage,SUP-194,26,438,68.44
SKU-00181,Stuff Buy,Sports,SUP-186,17,147,497.1
SKU-00182,Success Bed,Toys,SUP-164,18,324,165.23
SKU-00183,Term By,Automotive,SUP-161,19,120,461.18
SKU-00184,Single Pick,Food & Beverage,SUP-175,19,88,97.04
SKU-00185,Woman Lawyer,Electronics,SUP-013,14,347,95.98
SKU-00186,Wish Hold,Sports,SUP-040,12,450,283.75
SKU-00187,Station City,Apparel,SUP-089,22,496,27.67
SKU-00188,Seek Almost,Toys,SUP-068,8,139,401.0
SKU-00189,Check There,Toys,SUP-042,10,479,221.21
SKU-00190,Science Safe,Automotive,SUP-147,15,268,350.35
SKU-00191,Us Option,Toys,SUP-094,4,156,89.38
SKU-00192,Between Step,Food & Beverage,SUP-019,21,453,322.07
SKU-00193,Stock Agent,Electronics,SUP-186,24,441,298.05
SKU-00194,Record Smile,Toys,SUP-023,12,145,378.44
SKU-00195,Community Compare,Toys,SUP-054,6,452,150.46
SKU-00196,Indeed Anything,Apparel,SUP-065,14,81,466.75
SKU-00197,Over Off,Apparel,SUP-140,20,175,480.75
SKU-00198,Feeling Help,Home & Garden,SUP-024,9,196,434.39
SKU-00199,Sound Red,Sports,SUP-034,22,329,287.09
SKU-00200,Machine Usually,Food & Beverage,SUP-053,26,73,211.59
SKU-00201,Happen Attorney,Toys,SUP-136,26,489,31.35
SKU-00202,Structure State,Health & Beauty,SUP-018,25,258,473.75
SKU-00203,Process Ten,Toys,SUP-057,28,169,476.01
SKU-00204,Wrong Economy,Electronics,SUP-112,27,323,11.8
SKU-00205,Would Which,Home & Garden,SUP-005,6,189,180.05
SKU-00206,Example Back,Sports,SUP-154,9,346,440.32
SKU-00207,Mother I,Health & Beauty,SUP-158,12,392,42.72
SKU-00208,Skill Body,Home & Garden,SUP-182,28,481,100.29
SKU-00209,Office Democratic,Automotive,SUP-013,17,131,489.39
SKU-00210,Long Position,Sports,SUP-083,14,497,424.03
SKU-00211,More Sing,Toys,SUP-029,3,449,456.25
SKU-00212,Matter National,Toys,SUP-003,22,257,73.22
SKU-00213,Future Remain,Sports,SUP-090,20,456,107.63
SKU-00214,Apply Hospital,Toys,SUP-104,27,472,303.69
SKU-00215,Design Event,Food & Beverage,SUP-123,18,82,252.11
SKU-00216,Realize Mean,Sports,SUP-186,7,73,151.01
SKU-00217,Show Together,Home & Garden,SUP-076,21,110,442.21
SKU-00218,American Anything,Sports,SUP-130,6,360,450.94
SKU-00219,Congress First,Health & Beauty,SUP-108,8,238,147.61
SKU-00220,Another Loss,Toys,SUP-156,28,133,79.99
SKU-00221,For Nearly,Food & Beverage,SUP-082,19,274,76.67
SKU-00222,Least They,Food & Beverage,SUP-077,9,217,243.5
SKU-00223,Form Born,Automotive,SUP-002,26,235,68.63
SKU-00224,Then Help,Home & Garden,SUP-127,25,424,237.99
SKU-00225,Night Collection,Apparel,SUP-135,9,121,232.31
SKU-00226,Professor Individual,Apparel,SUP-026,11,123,442.34
SKU-00227,Than With,Sports,SUP-088,15,434,149.86
SKU-00228,Individual Music,Automotive,SUP-016,22,390,281.42
SKU-00229,Arm Large,Electronics,SUP-151,16,202,372.39
SKU-00230,Final Machine,Sports,SUP-168,18,145,298.97
SKU-00231,Collection Believe,Automotive,SUP-188,25,102,477.15
SKU-00232,Station Line,Home & Garden,SUP-073,11,494,302.13
SKU-00233,Education Produce,Home & Garden,SUP-032,17,223,451.18
SKU-00234,Low Job,Home & Garden,SUP-015,7,159,124.42
SKU-00235,Machine Along,Home & Garden,SUP-141,20,365,281.47
SKU-00236,Him Join,Home & Garden,SUP-005,23,100,272.79
SKU-00237,Course Test,Automotive,SUP-074,22,426,494.75
SKU-00238,Represent Rate,Automotive,SUP-052,10,302,104.24
SKU-00239,Us Relationship,Food & Beverage,SUP-077,17,122,72.64
SKU-00240,Kid Option,Health & Beauty,SUP-169,23,261,306.81
SKU-00241,Crime Foreign,Apparel,SUP-181,27,481,113.79
SKU-00242,Eight Do,Toys,SUP-110,11,261,320.48
SKU-00243,Trade Recent,Home & Garden,SUP-178,21,300,486.31
SKU-00244,Provide Phone,Electronics,SUP-143,28,217,473.39
SKU-00245,Offer Product,Toys,SUP-106,24,312,117.47
SKU-00246,Allow Position,Automotive,SUP-127,8,380,87.52
SKU-00247,Reflect Try,Electronics,SUP-007,6,279,281.47
SKU-00248,It To,Electronics,SUP-040,13,288,294.42
SKU-00249,Consider Defense,Electronics,SUP-156,12,324,331.97
SKU-00250,Young Product,Food & Beverage,SUP-160,5,192,371.39
SKU-00251,Candidate Audience,Automotive,SUP-099,3,119,301.48
SKU-00252,Somebody Drive,Electronics,SUP-143,14,494,58.1
SKU-00253,Not Outside,Home & Garden,SUP-085,25,361,395.6
SKU-00254,Focus Meeting,Sports,SUP-198,17,443,42.06
SKU-00255,Nation Down,Electronics,SUP-065,17,223,12.45
SKU-00256,Behavior Someone,Food & Beverage,SUP-132,23,385,385.4
SKU-00257,Government Agree,Toys,SUP-011,16,158,275.31
SKU-00258,International Case,Automotive,SUP-108,28,252,350.05
SKU-00259,Yard Partner,Health & Beauty,SUP-026,9,234,192.92
SKU-00260,Weight Hit,Food & Beverage,SUP-189,19,340,8.02
SKU-00261,Better Thing,Electronics,SUP-165,26,377,167.18
SKU-00262,Week Bad,Automotive,SUP-151,21,141,305.05
SKU-00263,Mr Draw,Sports,SUP-085,9,308,114.79
SKU-00264,Public Security,Electronics,SUP-168,5,371,344.68
SKU-00265,Here Management,Food & Beverage,SUP-151,5,486,397.71
SKU-00266,There Wind,Apparel,SUP-123,28,255,228.5
SKU-00267,Less Along,Home & Garden,SUP-144,27,101,438.17
SKU-00268,Trouble Exactly,Health & Beauty,SUP-189,20,398,427.77
SKU-00269,Fine Such,Toys,SUP-068,22,230,439.33
SKU-00270,Word History,Food & Beverage,SUP-104,24,487,331.37
SKU-00271,Role Agreement,Automotive,SUP-080,16,352,154.13
SKU-00272,Number City,Health & Beauty,SUP-159,5,52,241.92
SKU-00273,Section Peace,Health & Beauty,SUP-053,28,498,355.98
SKU-00274,Skill Young,Health & Beauty,SUP-106,28,448,107.26
SKU-00275,Should Position,Electronics,SUP-153,9,133,370.07
SKU-00276,Line Single,Home & Garden,SUP-044,9,263,275.17
SKU-00277,Support Perform,Electronics,SUP-140,7,83,50.27
SKU-00278,Company Treatment,Automotive,SUP-090,5,99,279.75
SKU-00279,Issue Once,Electronics,SUP-101,20,338,35.72
SKU-00280,Remember Itself,Apparel,SUP-097,17,378,9.62
SKU-00281,Could Generation,Home & Garden,SUP-009,22,308,445.09
SKU-00282,Today Up,Home & Garden,SUP-012,16,307,246.23
SKU-00283,Debate Course,Automotive,SUP-069,6,437,272.79
SKU-00284,Five Positive,Toys,SUP-182,29,321,141.77
SKU-00285,Media Along,Apparel,SUP-182,26,231,272.52
SKU-00286,Order Million,Food & Beverage,SUP-028,10,82,86.51
SKU-00287,Player Lay,Electronics,SUP-056,23,314,373.46
SKU-00288,Wish My,Sports,SUP-099,15,362,412.12
SKU-00289,Civil Program,Electronics,SUP-197,24,89,428.3
SKU-00290,Data Worry,Health & Beauty,SUP-110,10,357,55.56
SKU-00291,Country Choice,Electronics,SUP-077,17,259,279.98
SKU-00292,Memory Voice,Food & Beverage,SUP-103,19,321,404.85
SKU-00293,Late High,Electronics,SUP-106,7,185,66.29
SKU-00294,Understand Learn,Apparel,SUP-109,22,136,52.01
SKU-00295,Fight Week,Apparel,SUP-112,6,109,408.93
SKU-00296,Step Pick,Home & Garden,SUP-058,13,213,398.88
SKU-00297,Watch Look,Automotive,SUP-078,20,52,225.72
SKU-00298,Here Traditional,Toys,SUP-075,12,64,57.08
SKU-00299,Human Have,Sports,SUP-042,19,151,259.27
SKU-00300,Explain Including,Health & Beauty,SUP-166,17,304,198.91
SKU-00301,Lay Heavy,Electronics,SUP-068,8,274,260.48
SKU-00302,Mind Remember,Electronics,SUP-181,25,259,221.35
SKU-00303,Fast People,Food & Beverage,SUP-033,23,72,285.34
SKU-00304,Morning Whether,Automotive,SUP-071,18,284,364.25
SKU-00305,Store Television,Apparel,SUP-056,17,180,387.99
SKU-00306,Defense Maintain,Sports,SUP-105,10,207,325.37
SKU-00307,Teach Size,Home & Garden,SUP-101,11,222,101.47
SKU-00308,Factor Recognize,Apparel,SUP-051,13,66,200.07
SKU-00309,Professor Simple,Health & Beauty,SUP-074,29,419,37.93
SKU-00310,Agreement Whole,Automotive,SUP-171,4,491,227.21
SKU-00311,Choose Pm,Health & Beauty,SUP-121,29,363,485.24
SKU-00312,Common Operation,Toys,SUP-143,15,415,321.76
SKU-00313,Treat Book,Home & Garden,SUP-166,6,234,79.42
SKU-00314,Population Very,Toys,SUP-143,29,440,136.12
SKU-00315,Interesting Bit,Food & Beverage,SUP-005,11,472,34.63
SKU-00316,Around Spend,Health & Beauty,SUP-083,7,383,93.25
SKU-00317,Rather Soon,Food & Beverage,SUP-182,21,491,245.2
SKU-00318,Voice Measure,Electronics,SUP-051,24,233,174.07
SKU-00319,Into Really,Toys,SUP-010,5,192,103.97
SKU-00320,Group Court,Automotive,SUP-140,23,93,75.43
SKU-00321,Mind Husband,Health & Beauty,SUP-004,5,61,328.9
SKU-00322,Bring Company,Sports,SUP-095,8,57,280.16
SKU-00323,Get Early,Home & Garden,SUP-146,12,129,421.71
SKU-00324,Assume Agree,Apparel,SUP-080,7,346,93.67
SKU-00325,Second Try,Automotive,SUP-036,27,211,424.37
SKU-00326,Final Check,Automotive,SUP-025,5,351,290.01
SKU-00327,Half Indeed,Food & Beverage,SUP-098,24,265,134.95
SKU-00328,Four Impact,Toys,SUP-164,26,297,138.59
SKU-00329,Area Group,Health & Beauty,SUP-101,9,78,196.71
SKU-00330,Else Sign,Health & Beauty,SUP-195,24,321,231.41
SKU-00331,Himself Despite,Electronics,SUP-009,20,182,43.55
SKU-00332,Among State,Electronics,SUP-061,25,54,421.39
SKU-00333,Program Successful,Home & Garden,SUP-053,10,293,62.97
SKU-00334,Garden Fund,Food & Beverage,SUP-146,3,79,243.02
SKU-00335,Involve Heart,Automotive,SUP-171,27,166,193.03
SKU-00336,Century Middle,Health & Beauty,SUP-163,6,227,257.36
SKU-00337,Born Discover,Sports,SUP-063,26,310,444.02
SKU-00338,Reduce I,Food & Beverage,SUP-121,28,284,494.57
SKU-00339,Unit Place,Home & Garden,SUP-105,9,190,12.59
SKU-00340,Prevent Kid,Home & Garden,SUP-004,16,354,198.14
SKU-00341,Drug Follow,Food & Beverage,SUP-093,15,394,409.26
SKU-00342,Former Event,Home & Garden,SUP-169,12,99,164.98
SKU-00343,Alone Feeling,Food & Beverage,SUP-173,25,319,325.4
SKU-00344,Tonight Attorney,Apparel,SUP-178,20,157,496.15
SKU-00345,Under Hold,Food & Beverage,SUP-028,3,95,324.27
SKU-00346,Reality Tonight,Toys,SUP-170,6,131,57.82
SKU-00347,Couple Same,Food & Beverage,SUP-080,18,175,421.86
SKU-00348,Gun See,Home & Garden,SUP-076,18,133,483.41
SKU-00349,Know Clearly,Health & Beauty,SUP-116,20,339,356.97
SKU-00350,Hotel Tax,Toys,SUP-069,10,120,210.99
SKU-00351,Property Affect,Home & Garden,SUP-098,12,224,474.33
SKU-00352,Wrong Plan,Electronics,SUP-001,18,365,484.36
SKU-00353,Later Movement,Electronics,SUP-167,25,379,467.72
SKU-00354,Form Shake,Health & Beauty,SUP-096,26,386,207.38
SKU-00355,Eat Recently,Health & Beauty,SUP-017,13,444,395.38
SKU-00356,Story My,Toys,SUP-112,8,403,327.95
SKU-00357,Become Rich,Apparel,SUP-091,3,140,91.9
SKU-00358,Someone Let,Health & Beauty,SUP-088,14,400,268.92
SKU-00359,Talk Foot,Electronics,SUP-163,27,483,374.48
SKU-00360,Teach Without,Food & Beverage,SUP-174,8,298,448.22
SKU-00361,Rather Exist,Home & Garden,SUP-170,15,181,431.64
SKU-00362,Continue Charge,Electronics,SUP-167,28,218,79.44
SKU-00363,Baby Tough,Electronics,SUP-090,19,492,245.3
SKU-00364,Should Visit,Apparel,SUP-049,3,109,240.44
SKU-00365,Term Plant,Toys,SUP-190,10,418,449.62
SKU-00366,Mention Player,Toys,SUP-038,24,386,3.46
SKU-00367,Hold Either,Automotive,SUP-151,10,290,370.01
SKU-00368,Upon Party,Apparel,SUP-150,26,239,310.27
SKU-00369,Animal Full,Food & Beverage,SUP-132,13,389,460.98
SKU-00370,Ball Outside,Toys,SUP-177,16,330,229.82
SKU-00371,Pm Soon,Home & Garden,SUP-059,26,281,329.69
SKU-00372,Drop He,Health & Beauty,SUP-068,12,338,486.44
SKU-00373,Sometimes Yard,Apparel,SUP-199,17,324,372.59
SKU-00374,Reflect Hair,Health & Beauty,SUP-130,9,362,36.02
SKU-00375,Find Nothing,Electronics,SUP-049,9,64,85.85
SKU-00376,Popular Keep,Home & Garden,SUP-126,12,90,411.17
SKU-00377,Rather Brother,Home & Garden,SUP-159,6,257,169.06
SKU-00378,Specific Television,Electronics,SUP-111,27,109,353.69
SKU-00379,Available Kind,Apparel,SUP-168,20,414,350.66
SKU-00380,Figure Threat,Electronics,SUP-048,29,289,496.87
SKU-00381,Sea Report,Health & Beauty,SUP-051,27,145,236.26
SKU-00382,Central Head,Automotive,SUP-043,12,327,369.57
SKU-00383,Personal Consider,Home & Garden,SUP-098,21,476,26.75
SKU-00384,Between Because,Sports,SUP-183,16,209,232.64
SKU-00385,Of Among,Sports,SUP-177,15,446,95.37
SKU-00386,Trade When,Health & Beauty,SUP-124,17,471,420.68
SKU-00387,Career Computer,Food & Beverage,SUP-080,18,331,420.35
SKU-00388,Art Challenge,Toys,SUP-185,4,258,120.09
SKU-00389,Act End,Electronics,SUP-111,6,182,160.85
SKU-00390,For Pressure,Electronics,SUP-143,23,430,351.98
SKU-00391,Whose World,Food & Beverage,SUP-027,20,482,369.79
SKU-00392,Wear Street,Food & Beverage,SUP-196,19,146,329.67
SKU-00393,Skin Husband,Health & Beauty,SUP-192,12,268,498.36
SKU-00394,Tv Join,Health & Beauty,SUP-158,29,438,434.67
SKU-00395,Land Us,Food & Beverage,SUP-164,23,120,209.99
SKU-00396,Ahead Box,Home & Garden,SUP-195,11,481,165.17
SKU-00397,Best Parent,Health & Beauty,SUP-113,17,323,299.43
SKU-00398,Mission Herself,Automotive,SUP-086,14,400,409.27
SKU-00399,Hair Ok,Health & Beauty,SUP-114,23,183,238.98
SKU-00400,Hot Future,Electronics,SUP-124,29,115,369.5
SKU-00401,Difference Much,Health & Beauty,SUP-049,28,176,12.03
SKU-00402,Man Difference,Home & Garden,SUP-076,11,254,463.11
SKU-00403,Single Gas,Food & Beverage,SUP-055,16,347,387.48
SKU-00404,Bar Move,Electronics,SUP-056,15,166,198.61
SKU-00405,Ground Cut,Health & Beauty,SUP-196,28,485,193.55
SKU-00406,Write Create,Home & Garden,SUP-095,8,316,53.69
SKU-00407,Major Turn,Automotive,SUP-044,21,331,408.54
SKU-00408,Area Mind,Health & Beauty,SUP-159,6,198,384.89
SKU-00409,Beyond Themselves,Home & Garden,SUP-186,22,243,316.05
SKU-00410,Hold Early,Automotive,SUP-087,19,217,52.97
SKU-00411,Before Across,Food & Beverage,SUP-181,21,361,133.01
SKU-00412,Beautiful Since,Health & Beauty,SUP-084,5,423,230.81
SKU-00413,Official Star,Automotive,SUP-151,16,228,134.82
SKU-00414,List Reduce,Electronics,SUP-156,19,197,218.4
SKU-00415,Subject Floor,Food & Beverage,SUP-016,15,106,114.91
SKU-00416,He Marriage,Electronics,SUP-165,11,54,176.43
SKU-00417,Down Add,Sports,SUP-149,29,63,327.02
SKU-00418,Consider Next,Apparel,SUP-145,3,329,446.45
SKU-00419,So Moment,Health & Beauty,SUP-037,27,373,194.05
SKU-00420,Forget Hospital,Automotive,SUP-077,19,485,346.72
SKU-00421,Poor Nation,Apparel,SUP-147,18,353,69.56
