sku_id,product_name,category,stock_level,avg_daily_demand,lead_time_days,demand_during_lead_time,safety_stock_buffer,stockout_risk_flag
SKU-00311,Choose Pm,Health & Beauty,142,41.63333333333333,29,1207.0,-1065.3666666666666,HIGH RISK
SKU-03207,Or Evening,Electronics,119,43.8,27,1183.0,-1063.6,HIGH RISK
SKU-08674,But Ready,Toys,41,46.0,24,1104.0,-1063.0,HIGH RISK
SKU-00419,So Moment,Health & Beauty,177,45.85,27,1238.0,-1060.95,HIGH RISK
SKU-00427,Financial Mission,Electronics,260,45.46666666666667,29,1319.0,-1058.5333333333333,HIGH RISK
SKU-09273,Capital Response,Sports,75,45.233333333333334,25,1131.0,-1055.8333333333333,HIGH RISK
SKU-01850,Nice Player,Apparel,16,42.71666666666667,25,1068.0,-1051.9166666666667,HIGH RISK
SKU-01829,Avoid Apply,Automotive,25,43.05,25,1076.0,-1051.25,HIGH RISK
SKU-00583,Quality Stop,Home & Garden,189,42.75,29,1240.0,-1050.75,HIGH RISK
SKU-04218,Figure Start,Food & Beverage,8,46.016666666666666,23,1058.0,-1050.3833333333332,HIGH RISK
SKU-06738,Hot Among,Sports,105,39.63333333333333,29,1149.0,-1044.3666666666666,HIGH RISK
SKU-02505,Check Service,Automotive,180,43.53333333333333,28,1219.0,-1038.9333333333334,HIGH RISK
SKU-07566,Factor Sound,Health & Beauty,219,44.81666666666667,28,1255.0,-1035.8666666666668,HIGH RISK
SKU-04065,Present Case,Food & Beverage,168,41.36666666666667,29,1200.0,-1031.6333333333334,HIGH RISK
SKU-05532,Well Car,Automotive,77,44.3,25,1108.0,-1030.5,HIGH RISK
SKU-07572,Through Wish,Apparel,228,44.88333333333333,28,1257.0,-1028.7333333333333,HIGH RISK
SKU-07721,Level Couple,Health & Beauty,96,38.68333333333333,29,1122.0,-1025.8166666666666,HIGH RISK
SKU-05814,Movement Thought,Health & Beauty,57,46.88333333333333,23,1078.0,-1021.3166666666666,HIGH RISK
SKU-00908,Here Join,Food & Beverage,118,39.11666666666667,29,1134.0,-1016.3833333333334,HIGH RISK
SKU-05723,Relate Trial,Sports,98,44.416666666666664,25,1110.0,-1012.4166666666665,HIGH RISK
SKU-06593,Change Provide,Electronics,77,40.266666666666666,27,1087.0,-1010.2,HIGH RISK
SKU-09406,Point Attention,Electronics,123,45.15,25,1129.0,-1005.75,HIGH RISK
SKU-07394,Mother Pay,Apparel,74,43.15,25,1079.0,-1004.75,HIGH RISK
SKU-09367,Oil Room,Electronics,63,42.68333333333333,25,1067.0,-1004.0833333333333,HIGH RISK
SKU-08899,Guess I,Toys,164,44.916666666666664,26,1168.0,-1003.8333333333333,HIGH RISK
SKU-04250,Describe Seat,Sports,113,41.3,27,1115.0,-1002.0999999999999,HIGH RISK
SKU-06732,Thus South,Sports,222,42.1,29,1221.0,-998.9000000000001,HIGH RISK
SKU-01421,Rise Whatever,Electronics,38,41.25,25,1031.0,-993.25,HIGH RISK
SKU-04195,My Expert,Sports,95,41.78333333333333,26,1086.0,-991.3666666666666,HIGH RISK
SKU-09234,Into Which,Food & Beverage,150,43.68333333333333,26,1136.0,-985.7666666666667,HIGH RISK
SKU-08287,Open Their,Electronics,85,42.81666666666667,25,1070.0,-985.4166666666667,HIGH RISK
SKU-07182,Indeed Good,Electronics,271,43.3,29,1256.0,-984.6999999999998,HIGH RISK
SKU-03691,Assume Degree,Automotive,118,40.78333333333333,27,1101.0,-983.1499999999999,HIGH RISK
SKU-07695,Society Mission,Electronics,8,43.05,23,990.0,-982.15,HIGH RISK
SKU-02768,According Under,Food & Beverage,207,45.733333333333334,26,1189.0,-982.0666666666666,HIGH RISK
SKU-02428,Into Since,Sports,232,41.81666666666667,29,1213.0,-980.6833333333334,HIGH RISK
SKU-03322,Window But,Apparel,341,45.45,29,1318.0,-977.0500000000002,HIGH RISK
SKU-01317,Space Prevent,Apparel,206,42.083333333333336,28,1178.0,-972.3333333333335,HIGH RISK
SKU-01858,Long Fight,Electronics,51,35.266666666666666,29,1023.0,-971.7333333333333,HIGH RISK
SKU-05393,Avoid Off,Automotive,126,40.63333333333333,27,1097.0,-971.0999999999999,HIGH RISK
SKU-07806,Smile Wind,Automotive,70,37.166666666666664,28,1041.0,-970.6666666666665,HIGH RISK
SKU-05941,Bill When,Food & Beverage,198,43.25,27,1168.0,-969.75,HIGH RISK
SKU-08824,Travel By,Toys,62,40.983333333333334,25,1025.0,-962.5833333333333,HIGH RISK
SKU-08316,Technology Term,Sports,139,37.983333333333334,29,1102.0,-962.5166666666667,HIGH RISK
SKU-00359,Talk Foot,Electronics,13,36.11666666666667,27,975.0,-962.15,HIGH RISK
SKU-05326,Hard Near,Home & Garden,80,45.3,23,1042.0,-961.8999999999999,HIGH RISK
SKU-03014,Imagine With,Toys,104,38.06666666666667,28,1066.0,-961.8666666666668,HIGH RISK
SKU-06201,Himself Bank,Food & Beverage,46,37.233333333333334,27,1005.0,-959.3000000000001,HIGH RISK
SKU-09804,Mean That,Home & Garden,75,44.833333333333336,23,1031.0,-956.1666666666667,HIGH RISK
SKU-05180,Ahead Like,Automotive,116,38.18333333333333,28,1069.0,-953.1333333333332,HIGH RISK
SKU-09500,Student Support,Automotive,72,35.166666666666664,29,1020.0,-947.8333333333333,HIGH RISK
SKU-05879,Local Personal,Apparel,211,44.55,26,1158.0,-947.3,HIGH RISK
SKU-03133,Forward Thousand,Apparel,233,40.68333333333333,29,1180.0,-946.8166666666666,HIGH RISK
SKU-04752,There Throughout,Electronics,358,46.6,28,1305.0,-946.8,HIGH RISK
SKU-00658,Manager Exist,Food & Beverage,58,45.56666666666667,22,1002.0,-944.4666666666667,HIGH RISK
SKU-04822,Teach National,Electronics,357,44.833333333333336,29,1300.0,-943.1666666666667,HIGH RISK
SKU-04444,By Put,Home & Garden,49,38.083333333333336,26,990.0,-941.1666666666667,HIGH RISK
SKU-08333,Owner Choose,Electronics,9,35.13333333333333,27,949.0,-939.6,HIGH RISK
SKU-02749,For Public,Automotive,52,34.18333333333333,29,991.0,-939.3166666666666,HIGH RISK
SKU-05832,Pull Under,Home & Garden,56,43.25,23,995.0,-938.75,HIGH RISK
SKU-06082,Especially Keep,Apparel,38,37.483333333333334,26,975.0,-936.5666666666667,HIGH RISK
SKU-03839,Must Student,Sports,65,35.733333333333334,28,1001.0,-935.5333333333333,HIGH RISK
SKU-07401,Again Add,Electronics,14,39.45,24,947.0,-932.8000000000001,HIGH RISK
SKU-02604,Natural Continue,Electronics,89,40.833333333333336,25,1021.0,-931.8333333333334,HIGH RISK
SKU-02647,More Wonder,Apparel,363,44.56666666666667,29,1292.0,-929.4333333333334,HIGH RISK
SKU-05791,Significant Land,Electronics,260,45.583333333333336,26,1185.0,-925.1666666666667,HIGH RISK
SKU-07297,Boy Huge,Electronics,17,42.81666666666667,22,942.0,-924.9666666666667,HIGH RISK
SKU-06992,Available Themselves,Health & Beauty,69,41.4,24,994.0,-924.5999999999999,HIGH RISK
SKU-09933,Interesting Civil,Home & Garden,56,44.53333333333333,22,980.0,-923.7333333333333,HIGH RISK
SKU-08704,Man Nothing,Sports,268,44.13333333333333,27,1192.0,-923.5999999999999,HIGH RISK
SKU-06174,Claim Degree,Electronics,135,37.65,28,1054.0,-919.2,HIGH RISK
SKU-00284,Five Positive,Toys,196,38.36666666666667,29,1113.0,-916.6333333333334,HIGH RISK
SKU-07961,Sport Rate,Automotive,162,41.46666666666667,26,1078.0,-916.1333333333334,HIGH RISK
SKU-00842,Follow Couple,Health & Beauty,1,39.81666666666667,23,916.0,-914.7833333333334,HIGH RISK
SKU-04621,Site Describe,Toys,42,34.13333333333333,28,956.0,-913.7333333333333,HIGH RISK
SKU-00508,Piece Sign,Food & Beverage,42,41.55,23,956.0,-913.65,HIGH RISK
SKU-05641,Fire Trial,Health & Beauty,230,43.95,26,1143.0,-912.7,HIGH RISK
SKU-05806,Expect Pm,Sports,79,34.15,29,990.0,-911.3499999999999,HIGH RISK
SKU-07522,Event Under,Sports,45,34.1,28,955.0,-909.8000000000001,HIGH RISK
SKU-00011,Degree Himself,Food & Beverage,231,39.333333333333336,29,1141.0,-909.6666666666667,HIGH RISK
SKU-00141,Majority Government,Health & Beauty,384,46.18333333333333,28,1293.0,-909.1333333333332,HIGH RISK
SKU-03248,Practice Fine,Sports,220,40.25,28,1127.0,-907.0,HIGH RISK
SKU-07135,Forward Health,Food & Beverage,290,42.75,28,1197.0,-907.0,HIGH RISK
SKU-09421,Threat Seat,Electronics,299,41.583333333333336,29,1206.0,-906.9166666666667,HIGH RISK
SKU-00696,Social Boy,Home & Garden,71,34.86666666666667,28,976.0,-905.2666666666667,HIGH RISK
SKU-01771,Trouble Shoulder,Food & Beverage,427,45.9,29,1331.0,-904.0999999999999,HIGH RISK
SKU-06577,Pattern Hour,Food & Beverage,195,39.2,28,1098.0,-902.6000000000001,HIGH RISK
SKU-09497,Sound Edge,Sports,286,45.65,26,1187.0,-900.8999999999999,HIGH RISK
SKU-04887,Present When,Food & Beverage,20,33.983333333333334,27,918.0,-897.5500000000001,HIGH RISK
SKU-03508,Window Put,Sports,319,45.03333333333333,27,1216.0,-896.8999999999999,HIGH RISK
SKU-02742,Offer One,Apparel,34,46.53333333333333,20,931.0,-896.6666666666666,HIGH RISK
SKU-06715,Term Number,Home & Garden,418,45.233333333333334,29,1312.0,-893.7666666666667,HIGH RISK
SKU-07212,Usually They,Automotive,213,46.0,24,1104.0,-891.0,HIGH RISK
SKU-06222,Where Arm,Electronics,23,32.583333333333336,28,912.0,-889.3333333333334,HIGH RISK
SKU-00968,Inside Police,Automotive,216,40.8,27,1102.0,-885.5999999999999,HIGH RISK
SKU-02919,Under Eat,Health & Beauty,188,44.71666666666667,24,1073.0,-885.2,HIGH RISK
SKU-09285,Manage Often,Food & Beverage,62,43.05,22,947.0,-885.0999999999999,HIGH RISK
SKU-06321,Peace Live,Food & Beverage,366,44.483333333333334,28,1246.0,-879.5333333333333,HIGH RISK
SKU-07776,Culture Teach,Sports,194,42.916666666666664,25,1073.0,-878.9166666666665,HIGH RISK
SKU-05102,Believe Its,Health & Beauty,6,42.1,21,884.0,-878.1,HIGH RISK
SKU-05177,Could Near,Automotive,98,37.483333333333334,26,975.0,-876.5666666666667,HIGH RISK
SKU-08804,When Ok,Automotive,103,37.666666666666664,26,979.0,-876.3333333333333,HIGH RISK
SKU-06309,Direction Indeed,Home & Garden,2,46.21666666666667,19,878.0,-876.1166666666667,HIGH RISK
SKU-05921,Behavior Threat,Sports,273,42.55,27,1149.0,-875.8499999999999,HIGH RISK
SKU-09254,Staff Operation,Toys,104,46.45,21,975.0,-871.45,HIGH RISK
SKU-06195,Hold Cost,Electronics,277,44.166666666666664,26,1148.0,-871.3333333333333,HIGH RISK
SKU-00862,Challenge Piece,Electronics,70,32.4,29,940.0,-869.5999999999999,HIGH RISK
SKU-03225,Reality Specific,Automotive,108,46.45,21,975.0,-867.45,HIGH RISK
SKU-02422,Though Tend,Food & Beverage,33,44.93333333333333,20,899.0,-865.6666666666666,HIGH RISK
SKU-08806,Model Mind,Home & Garden,100,37.06666666666667,26,964.0,-863.7333333333335,HIGH RISK
SKU-01134,Relationship Cup,Toys,87,41.233333333333334,23,948.0,-861.3666666666667,HIGH RISK
SKU-05565,Note Plant,Health & Beauty,210,39.666666666666664,27,1071.0,-861.0,HIGH RISK
SKU-01947,Heart Positive,Electronics,34,31.95,28,895.0,-860.6,HIGH RISK
SKU-09589,Line Final,Electronics,202,39.31666666666667,27,1062.0,-859.5500000000002,HIGH RISK
SKU-09568,Race Own,Home & Garden,280,43.733333333333334,26,1137.0,-857.0666666666666,HIGH RISK
SKU-06373,Walk And,Sports,32,31.683333333333334,28,887.0,-855.1333333333333,HIGH RISK
SKU-03262,Across Effort,Home & Garden,198,36.3,29,1053.0,-854.6999999999998,HIGH RISK
SKU-00399,Hair Ok,Health & Beauty,34,38.6,23,888.0,-853.8000000000001,HIGH RISK
SKU-06357,Affect Degree,Sports,96,33.916666666666664,28,950.0,-853.6666666666666,HIGH RISK
SKU-07868,Federal Manager,Sports,80,44.43333333333333,21,933.0,-853.0999999999999,HIGH RISK
SKU-08564,Reflect Civil,Home & Garden,42,44.7,20,894.0,-852.0,HIGH RISK
SKU-03566,Authority Analysis,Home & Garden,177,38.06666666666667,27,1028.0,-850.8000000000002,HIGH RISK
SKU-07625,Source Church,Health & Beauty,133,42.68333333333333,23,982.0,-848.7166666666666,HIGH RISK
SKU-08406,Simple Set,Health & Beauty,176,44.35,23,1020.0,-844.0500000000001,HIGH RISK
SKU-06306,Price Course,Automotive,36,30.333333333333332,29,880.0,-843.6666666666666,HIGH RISK
SKU-08172,Become Style,Automotive,85,41.983333333333334,22,924.0,-838.6333333333333,HIGH RISK
SKU-02929,Ten System,Apparel,400,45.833333333333336,27,1238.0,-837.5,HIGH RISK
SKU-00106,Speech Speech,Apparel,307,44.016666666666666,26,1144.0,-837.4333333333334,HIGH RISK
SKU-07046,Term Pick,Health & Beauty,488,45.68333333333333,29,1325.0,-836.8166666666666,HIGH RISK
SKU-07056,Treat Region,Electronics,20,35.65,24,856.0,-835.5999999999999,HIGH RISK
SKU-00028,Book Sit,Apparel,110,34.95,27,944.0,-833.6500000000001,HIGH RISK
SKU-07054,Bad Task,Sports,420,46.416666666666664,27,1253.0,-833.25,HIGH RISK
SKU-01764,Catch From,Toys,116,45.2,21,949.0,-833.2,HIGH RISK
SKU-06057,Around Production,Automotive,143,40.65,24,976.0,-832.5999999999999,HIGH RISK
SKU-04238,Process Here,Food & Beverage,135,38.7,25,968.0,-832.5000000000001,HIGH RISK
SKU-03644,Painting Water,Home & Garden,315,39.46666666666667,29,1145.0,-829.5333333333333,HIGH RISK
SKU-06853,That Five,Food & Beverage,58,35.43333333333333,25,886.0,-827.8333333333333,HIGH RISK
SKU-02752,Person Likely,Sports,103,38.766666666666666,24,930.0,-827.4,HIGH RISK
SKU-00798,Their Follow,Toys,39,37.65,23,866.0,-826.9499999999999,HIGH RISK
SKU-03422,Bag Performance,Toys,107,32.15,29,932.0,-825.3499999999999,HIGH RISK
SKU-07268,Chair Total,Sports,292,42.96666666666667,26,1117.0,-825.1333333333334,HIGH RISK
SKU-03914,Another War,Electronics,184,42.03333333333333,24,1009.0,-824.8,HIGH RISK
SKU-03504,Specific Near,Sports,48,37.86666666666667,23,871.0,-822.9333333333334,HIGH RISK
SKU-00243,Trade Recent,Home & Garden,96,43.68333333333333,21,917.0,-821.3499999999999,HIGH RISK
SKU-04682,Certain Necessary,Electronics,121,36.18333333333333,26,941.0,-819.7666666666665,HIGH RISK
SKU-05247,Nearly Us,Electronics,79,44.9,20,898.0,-819.0,HIGH RISK
SKU-05120,Property Put,Apparel,44,41.03333333333333,21,862.0,-817.6999999999999,HIGH RISK
SKU-01613,Heavy No,Health & Beauty,107,40.18333333333333,23,924.0,-817.2166666666666,HIGH RISK
SKU-03568,Executive Follow,Toys,317,41.93333333333333,27,1132.0,-815.1999999999998,HIGH RISK
SKU-01550,Girl Campaign,Health & Beauty,71,32.8,27,886.0,-814.5999999999999,HIGH RISK
SKU-06895,Hope Far,Home & Garden,51,33.266666666666666,26,865.0,-813.9333333333333,HIGH RISK
SKU-09337,Expect Chair,Toys,30,30.133333333333333,28,844.0,-813.7333333333333,HIGH RISK
SKU-08768,Business History,Food & Beverage,54,34.583333333333336,25,865.0,-810.5833333333334,HIGH RISK
SKU-04933,Vote Experience,Sports,236,41.85,25,1046.0,-810.25,HIGH RISK
SKU-08875,Protect Person,Food & Beverage,29,33.55,25,839.0,-809.7499999999999,HIGH RISK
SKU-06056,Scientist Five,Home & Garden,357,44.833333333333336,26,1166.0,-808.6666666666667,HIGH RISK
SKU-03051,Apply Hard,Health & Beauty,57,39.3,22,865.0,-807.5999999999999,HIGH RISK
SKU-00019,Ten Argue,Health & Beauty,248,36.35,29,1054.0,-806.1500000000001,HIGH RISK
SKU-06138,Size Able,Food & Beverage,188,36.766666666666666,27,993.0,-804.6999999999999,HIGH RISK
SKU-01654,Possible Hope,Toys,174,33.71666666666667,29,978.0,-803.7833333333334,HIGH RISK
SKU-03385,Follow Amount,Electronics,406,41.71666666666667,29,1210.0,-803.7833333333333,HIGH RISK
SKU-06097,Often Color,Home & Garden,44,42.38333333333333,20,848.0,-803.6666666666666,HIGH RISK
SKU-02285,Condition Should,Apparel,96,39.06666666666667,23,899.0,-802.5333333333334,HIGH RISK
SKU-01272,Central Thus,Automotive,238,40.0,26,1040.0,-802.0,HIGH RISK
SKU-01792,Record Soon,Automotive,46,38.516666666666666,22,847.0,-801.3666666666667,HIGH RISK
SKU-09638,Face Situation,Toys,30,46.15,18,831.0,-800.6999999999999,HIGH RISK
SKU-02267,Form Away,Home & Garden,451,43.13333333333333,29,1251.0,-799.8666666666666,HIGH RISK
SKU-02274,Herself Energy,Apparel,65,43.18333333333333,20,864.0,-798.6666666666666,HIGH RISK
SKU-07927,Paper Reach,Apparel,72,33.483333333333334,26,871.0,-798.5666666666667,HIGH RISK
SKU-00465,Land Game,Home & Garden,10,35.13333333333333,23,808.0,-798.0666666666666,HIGH RISK
SKU-00193,Stock Agent,Electronics,107,37.55,24,901.0,-794.1999999999999,HIGH RISK
SKU-09420,Laugh Identify,Health & Beauty,293,37.483333333333334,29,1087.0,-794.0166666666667,HIGH RISK
SKU-04857,Baby Us,Sports,234,39.53333333333333,26,1028.0,-793.8666666666666,HIGH RISK
SKU-00578,Even Economy,Automotive,265,39.2,27,1058.0,-793.4000000000001,HIGH RISK
SKU-00470,Piece Marriage,Home & Garden,92,36.85,24,884.0,-792.4000000000001,HIGH RISK
SKU-03609,Turn North,Food & Beverage,68,29.666666666666668,29,860.0,-792.3333333333334,HIGH RISK
SKU-05767,Next Certainly,Electronics,27,31.5,26,819.0,-792.0,HIGH RISK
SKU-08490,Leg Outside,Home & Garden,549,46.233333333333334,29,1341.0,-791.7666666666667,HIGH RISK
SKU-07237,Political Couple,Toys,11,27.666666666666668,29,802.0,-791.3333333333334,HIGH RISK
SKU-02900,Nor Measure,Automotive,9,44.43333333333333,18,800.0,-790.8,HIGH RISK
SKU-03880,When Reduce,Food & Beverage,116,31.25,29,906.0,-790.25,HIGH RISK
SKU-06156,Exactly Next,Electronics,91,43.96666666666667,20,879.0,-788.3333333333334,HIGH RISK
SKU-07963,Case Begin,Electronics,353,42.25,27,1141.0,-787.75,HIGH RISK
SKU-08480,Soon Whole,Home & Garden,188,36.1,27,975.0,-786.7,HIGH RISK
SKU-05964,Reduce About,Health & Beauty,184,40.43333333333333,24,970.0,-786.3999999999999,HIGH RISK
SKU-03541,Their Data,Automotive,464,46.266666666666666,27,1249.0,-785.2,HIGH RISK
SKU-01758,Most Professional,Electronics,69,35.56666666666667,24,854.0,-784.6000000000001,HIGH RISK
SKU-00533,We Well,Electronics,39,28.366666666666667,29,823.0,-783.6333333333333,HIGH RISK
SKU-00163,Fly Collection,Health & Beauty,125,36.233333333333334,25,906.0,-780.8333333333334,HIGH RISK
SKU-00050,Or Reality,Automotive,171,35.25,27,952.0,-780.75,HIGH RISK
SKU-06611,Down Song,Automotive,308,40.31666666666667,27,1089.0,-780.5500000000002,HIGH RISK
SKU-07292,Democrat Night,Toys,180,36.93333333333333,26,960.0,-780.2666666666665,HIGH RISK
SKU-06830,Seat Play,Automotive,445,42.25,29,1225.0,-780.25,HIGH RISK
SKU-07226,Move Institution,Health & Beauty,422,46.2,26,1201.0,-779.2,HIGH RISK
SKU-06532,Decade Forget,Food & Beverage,422,42.85,28,1200.0,-777.8,HIGH RISK
SKU-00086,Region Loss,Food & Beverage,173,43.2,22,950.0,-777.4000000000001,HIGH RISK
SKU-05783,Become Care,Apparel,84,39.06666666666667,22,859.0,-775.4666666666667,HIGH RISK
SKU-01288,Such West,Automotive,43,38.916666666666664,21,817.0,-774.25,HIGH RISK
SKU-04152,Eat Difference,Automotive,342,39.81666666666667,28,1115.0,-772.8666666666668,HIGH RISK
SKU-02831,Effort Provide,Home & Garden,166,40.766666666666666,23,938.0,-771.6333333333333,HIGH RISK
SKU-05332,Region While,Electronics,174,36.36666666666667,26,946.0,-771.5333333333333,HIGH RISK
SKU-08625,Guy Turn,Electronics,71,38.18333333333333,22,840.0,-769.0333333333333,HIGH RISK
SKU-01927,Natural Meeting,Sports,127,37.28333333333333,24,895.0,-767.8,HIGH RISK
SKU-08651,Language Majority,Automotive,199,37.13333333333333,26,965.0,-766.4666666666667,HIGH RISK
SKU-06620,Next Full,Home & Garden,207,38.916666666666664,25,973.0,-765.9166666666666,HIGH RISK
SKU-02802,War Two,Automotive,289,36.36666666666667,29,1055.0,-765.6333333333334,HIGH RISK
SKU-02431,Race Family,Home & Garden,106,39.6,22,871.0,-765.2,HIGH RISK
SKU-07493,Important Evening,Sports,105,39.55,22,870.0,-765.0999999999999,HIGH RISK
SKU-03299,Agent Wind,Apparel,438,42.96666666666667,28,1203.0,-765.0666666666666,HIGH RISK
SKU-07156,Ground Management,Sports,101,34.61666666666667,25,865.0,-764.4166666666666,HIGH RISK
SKU-01492,Sure Too,Toys,376,39.3,29,1140.0,-763.6999999999998,HIGH RISK
SKU-04801,Fine Themselves,Food & Beverage,32,46.8,17,796.0,-763.5999999999999,HIGH RISK
SKU-04192,Both Care,Electronics,539,44.88333333333333,29,1302.0,-762.6166666666666,HIGH RISK
SKU-04220,Page Operation,Automotive,184,41.15,23,946.0,-762.4499999999999,HIGH RISK
SKU-00095,Couple Chair,Automotive,112,46.0,19,874.0,-762.0,HIGH RISK
SKU-09222,Improve Music,Electronics,188,45.2,21,949.0,-761.2,HIGH RISK
SKU-07427,Me My,Toys,548,45.13333333333333,29,1309.0,-760.8666666666666,HIGH RISK
SKU-06393,Most Wife,Toys,154,36.516666666666666,25,913.0,-758.9166666666666,HIGH RISK
SKU-01704,Shake Speak,Food & Beverage,122,38.233333333333334,23,879.0,-757.3666666666667,HIGH RISK
SKU-04748,Past Rich,Home & Garden,394,42.6,27,1150.0,-756.2,HIGH RISK
SKU-08266,President Garden,Sports,126,33.916666666666664,26,882.0,-755.8333333333333,HIGH RISK
SKU-08042,Another Number,Automotive,67,37.31666666666667,22,821.0,-753.9666666666667,HIGH RISK
SKU-03466,Small Design,Automotive,491,46.06666666666667,27,1244.0,-752.8000000000002,HIGH RISK
SKU-06401,Newspaper Beat,Food & Beverage,249,34.516666666666666,29,1001.0,-751.9833333333333,HIGH RISK
SKU-07147,Rock Theory,Electronics,129,38.3,23,881.0,-751.9,HIGH RISK
SKU-01725,Pay Enough,Apparel,9,42.2,18,760.0,-750.6,HIGH RISK
SKU-08951,Type Produce,Food & Beverage,598,46.46666666666667,29,1348.0,-749.5333333333333,HIGH RISK
SKU-03798,Push Ahead,Health & Beauty,201,33.93333333333333,28,950.0,-749.1333333333332,HIGH RISK
SKU-04485,Sister South,Food & Beverage,72,37.31666666666667,22,821.0,-748.9666666666667,HIGH RISK
SKU-09451,Represent Interview,Electronics,182,42.3,22,931.0,-748.5999999999999,HIGH RISK
SKU-05304,Speech Charge,Food & Beverage,3,25.883333333333333,29,751.0,-747.6166666666667,HIGH RISK
SKU-02823,Camera Bad,Sports,234,37.733333333333334,26,981.0,-747.0666666666667,HIGH RISK
SKU-05264,Director Program,Toys,277,42.63333333333333,24,1023.0,-746.2,HIGH RISK
SKU-05366,Social Personal,Sports,78,39.233333333333334,21,824.0,-745.9,HIGH RISK
SKU-08366,Significant Whatever,Health & Beauty,209,39.78333333333333,24,955.0,-745.8,HIGH RISK
SKU-07890,Night Truth,Toys,20,31.883333333333333,24,765.0,-745.2,HIGH RISK
SKU-07376,Than Hour,Automotive,53,33.233333333333334,24,798.0,-744.6,HIGH RISK
SKU-05900,Might Miss,Toys,25,42.733333333333334,18,769.0,-744.2,HIGH RISK
SKU-09498,Use Environmental,Health & Beauty,86,33.2,25,830.0,-744.0000000000001,HIGH RISK
SKU-00455,Hospital Subject,Sports,313,37.666666666666664,28,1055.0,-741.6666666666665,HIGH RISK
SKU-05453,Hope Dream,Food & Beverage,443,42.3,28,1184.0,-741.3999999999999,HIGH RISK
SKU-04206,Population Book,Home & Garden,82,28.383333333333333,29,823.0,-741.1166666666667,HIGH RISK
SKU-07448,Material Fast,Health & Beauty,92,30.85,27,833.0,-740.95,HIGH RISK
SKU-01332,Bar Sing,Automotive,216,45.483333333333334,21,955.0,-739.15,HIGH RISK
SKU-01576,Free Type,Toys,116,38.86666666666667,22,855.0,-739.0666666666667,HIGH RISK
SKU-07881,Page Study,Electronics,155,44.7,20,894.0,-739.0,HIGH RISK
SKU-01571,Nothing College,Apparel,56,33.11666666666667,24,795.0,-738.8,HIGH RISK
SKU-00726,Order Benefit,Sports,266,45.65,22,1004.0,-738.3,HIGH RISK
SKU-04844,Seven Bit,Automotive,74,29.0,28,812.0,-738.0,HIGH RISK
SKU-09268,Action Lead,Sports,109,44.53333333333333,19,846.0,-737.1333333333333,HIGH RISK
SKU-04794,Cut Cup,Food & Beverage,65,28.583333333333332,28,800.0,-735.3333333333333,HIGH RISK
SKU-03157,Performance Information,Home & Garden,102,33.483333333333334,25,837.0,-735.0833333333334,HIGH RISK
