order_id,sku_id,order_date,order_quantity,supplier_id
PO-000104,SKU-09504,2024-04-23,351,SUP-060
PO-000105,SKU-01524,2024-07-06,172,SUP-112
PO-000106,SKU-02929,2024-10-21,64,SUP-121
PO-000107,SKU-03816,2024-06-28,875,SUP-002
PO-000108,SKU-09164,2024-07-25,906,SUP-129
PO-000109,SKU-08911,2024-08-03,274,SUP-077
PO-000110,SKU-04802,2024-02-12,591,SUP-093
PO-000111,SKU-03675,2024-11-10,891,SUP-061
PO-000112,SKU-09920,2024-05-30,89,SUP-191
PO-000113,SKU-03644,2024-07-10,768,SUP-012
PO-000114,SKU-05899,2024-06-08,948,SUP-142
PO-000115,SKU-01584,2024-01-10,474,SUP-026
PO-000116,SKU-04695,2024-05-17,465,SUP-038
PO-000117,SKU-04376,2024-10-09,858,SUP-045
PO-000118,SKU-00295,2024-10-19,720,SUP-193
PO-000119,SKU-03032,2024-06-20,558,SUP-173
PO-000120,SKU-02136,2024-12-13,45,SUP-188
PO-000121,SKU-07703,2024-01-10,687,SUP-046
PO-000122,SKU-05858,2024-12-21,887,SUP-152
PO-000123,SKU-02644,2024-05-12,352,SUP-092
PO-000124,SKU-07944,2024-08-21,811,SUP-020
PO-000125,SKU-08755,2024-07-19,62,SUP-157
PO-000126,SKU-05357,2024-01-17,419,SUP-091
PO-000127,SKU-06614,2024-05-21,417,SUP-140
PO-000128,SKU-09238,2024-11-03,591,SUP-063
PO-000129,SKU-01107,2024-02-27,215,SUP-085
PO-000130,SKU-01029,2024-08-02,678,SUP-139
PO-000131,SKU-00024,2024-02-10,918,SUP-066
PO-000132,SKU-09901,2024-07-28,168,SUP-028
PO-000133,SKU-06547,2024-05-02,81,SUP-160
PO-000134,SKU-05649,2024-12-26,163,SUP-159
PO-000135,SKU-02427,2024-10-03,767,SUP-197
PO-000136,SKU-03465,2024-06-12,778,SUP-050
PO-000137,SKU-08943,2024-10-27,743,SUP-109
PO-000138,SKU-05913,2024-05-03,401,SUP-118
PO-000139,SKU-09520,2024-08-22,951,SUP-152
PO-000140,SKU-03015,2024-07-11,912,SUP-173
PO-000141,SKU-06616,2024-02-17,208,SUP-093
PO-000142,SKU-08577,2024-11-20,784,SUP-071
PO-000143,SKU-08563,2024-08-30,277,SUP-107
PO-000144,SKU-02863,2024-07-03,844,SUP-179
PO-000145,SKU-09159,2024-04-24,127,SUP-135
PO-000146,SKU-01299,2024-02-13,647,SUP-114
PO-000147,SKU-01007,2024-01-22,246,SUP-029
PO-000148,SKU-00256,2024-12-03,281,SUP-100
PO-000149,SKU-06405,2024-09-02,340,SUP-152
PO-000150,SKU-01307,2024-04-12,701,SUP-051
PO-000151,SKU-04168,2024-03-27,739,SUP-100
PO-000152,SKU-00667,2024-09-15,472,SUP-080
PO-000153,SKU-07278,2024-10-04,320,SUP-157
PO-000154,SKU-03190,2024-11-20,786,SUP-099
PO-000155,SKU-05150,2024-04-07,531,SUP-019
PO-000156,SKU-02508,2024-08-31,498,SUP-021
PO-000157,SKU-06903,2024-06-24,619,SUP-116
PO-000158,SKU-03441,2024-09-19,392,SUP-071
PO-000159,SKU-05772,2024-07-23,188,SUP-028
PO-000160,SKU-07822,2024-02-02,259,SUP-167
PO-000161,SKU-04805,2024-08-16,352,SUP-027
PO-000162,SKU-04798,2024-03-10,694,SUP-070
PO-000163,SKU-08955,2024-08-22,273,SUP-171
PO-000164,SKU-00581,2024-12-04,928,SUP-064
PO-000165,SKU-09556,2024-10-27,815,SUP-056
PO-000166,SKU-08335,2024-10-27,676,SUP-057
PO-000167,SKU-02157,2024-12-28,148,SUP-154
PO-000168,SKU-05847,2024-07-31,444,SUP-111
PO-000169,SKU-01673,2024-09-04,892,SUP-030
PO-000170,SKU-09584,2024-11-17,404,SUP-069
PO-000171,SKU-08669,2024-10-01,993,SUP-055
PO-000172,SKU-06668,2024-02-06,406,SUP-054
PO-000173,SKU-07441,2024-03-10,93,SUP-016
PO-000174,SKU-07466,2024-03-18,470,SUP-012
PO-000175,SKU-09283,2024-03-02,969,SUP-081
PO-000176,SKU-07039,2024-12-26,647,SUP-071
PO-000177,SKU-06680,2024-05-06,358,SUP-141
PO-000178,SKU-05874,2024-01-15,226,SUP-013
PO-000179,SKU-02206,2024-03-31,613,SUP-186
PO-000180,SKU-06956,2024-02-18,206,SUP-186
PO-000181,SKU-01864,2024-11-12,176,SUP-141
PO-000182,SKU-06176,2024-04-14,876,SUP-020
PO-000183,SKU-01702,2024-10-24,571,SUP-188
PO-000184,SKU-02671,2024-11-16,83,SUP-088
PO-000185,SKU-08259,2024-01-05,889,SUP-075
PO-000186,SKU-05379,2024-12-13,594,SUP-119
PO-000187,SKU-06022,2024-06-22,733,SUP-121
PO-000188,SKU-00090,2024-05-06,432,SUP-083
PO-000189,SKU-04498,2024-05-31,763,SUP-124
PO-000190,SKU-00307,2024-04-03,580,SUP-173
PO-000191,SKU-08476,2024-01-01,332,SUP-008
PO-000192,SKU-03366,2024-03-15,734,SUP-140
PO-000193,SKU-08765,2024-04-25,14,SUP-028
PO-000194,SKU-04373,2024-05-05,23,SUP-070
PO-000195,SKU-09977,2024-10-03,87,SUP-065
PO-000196,SKU-05953,2024-02-08,707,SUP-049
PO-000197,SKU-00090,2024-09-12,502,SUP-037
PO-000198,SKU-02930,2024-11-20,91,SUP-159
PO-000199,SKU-07985,2024-05-30,221,SUP-107
PO-000200,SKU-06379,2024-01-13,515,SUP-150
PO-000201,SKU-08292,2024-01-25,24,SUP-177
PO-000202,SKU-07801,2024-11-10,800,SUP-190
PO-000203,SKU-07118,2024-01-10,995,SUP-033
PO-000204,SKU-05421,2024-03-31,529,SUP-196
PO-000205,SKU-02592,2024-05-06,620,SUP-098
PO-000206,SKU-09866,2024-06-04,438,SUP-145
PO-000207,SKU-09365,2024-11-17,551,SUP-143
PO-000208,SKU-00670,2024-02-16,562,SUP-081
PO-000209,SKU-06292,2024-10-18,624,SUP-199
PO-000210,SKU-02227,2024-12-27,782,SUP-026
PO-000211,SKU-07480,2024-04-26,36,SUP-044
PO-000212,SKU-00914,2024-12-06,493,SUP-058
PO-000213,SKU-07667,2024-01-09,134,SUP-088
PO-000214,SKU-00261,2024-07-27,376,SUP-112
PO-000215,SKU-03197,2024-02-15,379,SUP-078
PO-000216,SKU-01942,2024-07-16,427,SUP-143
PO-000217,SKU-05480,2024-09-01,787,SUP-028
PO-000218,SKU-00220,2024-02-25,683,SUP-031
PO-000219,SKU-08743,2024-02-28,540,SUP-170
PO-000220,SKU-00497,2024-03-12,264,SUP-076
PO-000221,SKU-09653,2024-12-28,391,SUP-194
PO-000222,SKU-09850,2024-12-13,615,SUP-143
PO-000223,SKU-01626,2024-02-03,723,SUP-074
PO-000224,SKU-06188,2024-10-26,29,SUP-186
PO-000225,SKU-09520,2024-04-10,985,SUP-129
PO-000226,SKU-06592,2024-05-16,272,SUP-126
PO-000227,SKU-04113,2024-10-06,484,SUP-151
PO-000228,SKU-04163,2024-07-09,866,SUP-090
PO-000229,SKU-01915,2024-08-19,520,SUP-041
PO-000230,SKU-08751,2024-09-30,44,SUP-032
PO-000231,SKU-04925,2024-12-28,415,SUP-054
PO-000232,SKU-03302,2024-09-06,922,SUP-023
PO-000233,SKU-08173,2024-05-03,779,SUP-045
PO-000234,SKU-03391,2024-08-15,884,SUP-133
PO-000235,SKU-07235,2024-12-03,461,SUP-049
PO-000236,SKU-02017,2024-11-28,243,SUP-028
PO-000237,SKU-03974,2024-10-16,819,SUP-040
PO-000238,SKU-07724,2024-05-21,619,SUP-184
PO-000239,SKU-06857,2024-04-12,498,SUP-161
PO-000240,SKU-05430,2024-09-29,637,SUP-083
PO-000241,SKU-09818,2024-08-16,24,SUP-001
PO-000242,SKU-06048,2024-07-21,483,SUP-186
PO-000243,SKU-07950,2024-05-11,766,SUP-074
PO-000244,SKU-07224,2024-08-30,938,SUP-195
PO-000245,SKU-06647,2024-06-30,814,SUP-021
PO-000246,SKU-04866,2024-04-22,439,SUP-144
PO-000247,SKU-00845,2024-02-17,603,SUP-108
PO-000248,SKU-03198,2024-02-14,749,SUP-015
PO-000249,SKU-04745,2024-02-16,879,SUP-113
PO-000250,SKU-06050,2024-04-12,149,SUP-175
PO-000251,SKU-03372,2024-12-10,411,SUP-146
PO-000252,SKU-00104,2024-04-08,173,SUP-169
PO-000253,SKU-05678,2024-06-08,993,SUP-022
PO-000254,SKU-04306,2024-08-02,625,SUP-111
PO-000255,SKU-03564,2024-08-07,834,SUP-123
PO-000256,SKU-06478,2024-01-17,946,SUP-173
PO-000257,SKU-07240,2024-07-21,851,SUP-108
PO-000258,SKU-06430,2024-04-04,518,SUP-164
PO-000259,SKU-09602,2024-04-13,72,SUP-140
PO-000260,SKU-03213,2024-04-06,603,SUP-054
PO-000261,SKU-04042,2024-08-22,131,SUP-057
PO-000262,SKU-09206,2024-01-06,346,SUP-164
PO-000263,SKU-09565,2024-02-06,652,SUP-040
PO-000264,SKU-05671,2024-11-28,948,SUP-055
PO-000265,SKU-08374,2024-04-13,923,SUP-126
PO-000266,SKU-01234,2024-12-26,720,SUP-140
PO-000267,SKU-03997,2024-07-18,470,SUP-169
PO-000268,SKU-09027,2024-11-04,290,SUP-138
PO-000269,SKU-03486,2024-09-24,509,SUP-199
PO-000270,SKU-05676,2024-06-01,619,SUP-023
PO-000271,SKU-00671,2024-03-12,758,SUP-099
PO-000272,SKU-07054,2024-05-24,131,SUP-140
PO-000273,SKU-06273,2024-12-12,554,SUP-100
PO-000274,SKU-06880,2024-05-10,355,SUP-128
PO-000275,SKU-01041,2024-10-13,311,SUP-019
PO-000276,SKU-00082,2024-11-02,795,SUP-087
PO-000277,SKU-05852,2024-02-06,911,SUP-026
PO-000278,SKU-09228,2024-05-05,248,SUP-055
PO-000279,SKU-03267,2024-04-19,278,SUP-174
PO-000280,SKU-05943,2024-10-27,135,SUP-054
PO-000281,SKU-07516,2024-11-17,485,SUP-020
PO-000282,SKU-05606,2024-02-23,744,SUP-020
PO-000283,SKU-03288,2024-10-27,27,SUP-133
PO-000284,SKU-08413,2024-04-22,655,SUP-123
PO-000285,SKU-08068,2024-05-17,482,SUP-111
PO-000286,SKU-01239,2024-04-10,957,SUP-054
PO-000287,SKU-06207,2024-06-29,444,SUP-031
PO-000288,SKU-02431,2024-09-02,873,SUP-067
PO-000289,SKU-08435,2024-12-14,43,SUP-049
PO-000290,SKU-01718,2024-08-24,216,SUP-038
PO-000291,SKU-03214,2024-06-15,952,SUP-175
PO-000292,SKU-00656,2024-07-25,143,SUP-024
PO-000293,SKU-01073,2024-02-21,247,SUP-013
PO-000294,SKU-03520,2024-05-24,205,SUP-093
PO-000295,SKU-07005,2024-08-02,943,SUP-095
PO-000296,SKU-01167,2024-10-10,523,SUP-040
PO-000297,SKU-04706,2024-07-02,930,SUP-182
PO-000298,SKU-07775,2024-06-28,754,SUP-125
PO-000299,SKU-00925,2024-11-18,988,SUP-196
PO-000300,SKU-03068,2024-05-26,653,SUP-015
PO-000301,SKU-08676,2024-09-03,374,SUP-060
PO-000302,SKU-02344,2024-11-15,141,SUP-029
PO-000303,SKU-06728,2024-11-21,169,SUP-029
PO-000304,SKU-04878,2024-08-05,311,SUP-077
PO-000305,SKU-01415,2024-08-04,229,SUP-005
PO-000306,SKU-04443,2024-12-13,949,SUP-043
PO-000307,SKU-08765,2024-05-17,528,SUP-169
PO-000308,SKU-00172,2024-12-17,526,SUP-023
PO-000309,SKU-04561,2024-12-15,401,SUP-016
PO-000310,SKU-02859,2024-11-10,102,SUP-012
PO-000311,SKU-04336,2024-12-06,251,SUP-071
PO-000312,SKU-03558,2024-08-11,906,SUP-199
PO-000313,SKU-09740,2024-06-06,710,SUP-176
PO-000314,SKU-05011,2024-01-23,387,SUP-042
PO-000315,SKU-01148,2024-10-26,213,SUP-127
PO-000316,SKU-05238,2024-03-15,283,SUP-183
PO-000317,SKU-03243,2024-11-21,826,SUP-014
PO-000318,SKU-09054,2024-11-19,787,SUP-143
PO-000319,SKU-05471,2024-11-24,460,SUP-098
PO-000320,SKU-05177,2024-10-14,125,SUP-045
PO-000321,SKU-02065,2024-01-06,990,SUP-101
PO-000322,SKU-07788,2024-08-27,175,SUP-055
PO-000323,SKU-02108,2024-01-05,899,SUP-091
PO-000324,SKU-04034,2024-02-17,221,SUP-149
PO-000325,SKU-02653,2024-03-15,245,SUP-075
PO-000326,SKU-00620,2024-02-01,503,SUP-147
PO-000327,SKU-04966,2024-07-23,654,SUP-132
PO-000328,SKU-09668,2024-06-16,82,SUP-168
PO-000329,SKU-08495,2024-12-27,968,SUP-097
PO-000330,SKU-03206,2024-09-19,530,SUP-198
PO-000331,SKU-03088,2024-07-23,61,SUP-085
PO-000332,SKU-05896,2024-09-17,499,SUP-069
PO-000333,SKU-03346,2024-08-04,368,SUP-129
PO-000334,SKU-00011,2024-08-26,353,SUP-080
PO-000335,SKU-00119,2024-10-18,954,SUP-127
PO-000336,SKU-05577,2024-04-01,924,SUP-103
PO-000337,SKU-04910,2024-10-12,623,SUP-101
PO-000338,SKU-02884,2024-06-22,36,SUP-172
PO-000339,SKU-08058,2024-02-05,417,SUP-071
PO-000340,SKU-01282,2024-10-24,590,SUP-160
PO-000341,SKU-06238,2024-10-23,738,SUP-022
PO-000342,SKU-03402,2024-01-12,143,SUP-097
PO-000343,SKU-03133,2024-05-19,30,SUP-023
PO-000344,SKU-05482,2024-07-02,787,SUP-189
PO-000345,SKU-09427,2024-08-07,918,SUP-061
PO-000346,SKU-09902,2024-07-12,782,SUP-031
PO-000347,SKU-01544,2024-04-28,554,SUP-009
PO-000348,SKU-08111,2024-10-12,150,SUP-040
PO-000349,SKU-04469,2024-01-10,914,SUP-125
PO-000350,SKU-07659,2024-05-17,551,SUP-172
PO-000351,SKU-00387,2024-09-21,124,SUP-074
PO-000352,SKU-09539,2024-04-24,505,SUP-020
PO-000353,SKU-06177,2024-08-21,740,SUP-074
PO-000354,SKU-02970,2024-12-25,860,SUP-062
PO-000355,SKU-08861,2024-10-25,401,SUP-153
PO-000356,SKU-03885,2024-05-31,898,SUP-121
PO-000357,SKU-04136,2024-08-05,668,SUP-187
PO-000358,SKU-02422,2024-11-16,860,SUP-088
PO-000359,SKU-04675,2024-04-08,919,SUP-037
PO-000360,SKU-04611,2024-06-21,915,SUP-064
PO-000361,SKU-07568,2024-05-18,685,SUP-056
PO-000362,SKU-07782,2024-08-09,257,SUP-029
PO-000363,SKU-04421,2024-09-01,358,SUP-178
PO-000364,SKU-08698,2024-02-12,361,SUP-048
PO-000365,SKU-07591,2024-09-11,901,SUP-106
PO-000366,SKU-00552,2024-09-12,903,SUP-197
PO-000367,SKU-06390,2024-06-24,428,SUP-154
PO-000368,SKU-07052,2024-04-28,583,SUP-026
PO-000369,SKU-08712,2024-04-26,431,SUP-174
PO-000370,SKU-03551,2024-04-08,901,SUP-091
PO-000371,SKU-08143,2024-04-25,707,SUP-158
PO-000372,SKU-03761,2024-11-21,415,SUP-177
PO-000373,SKU-01799,2024-09-23,621,SUP-139
PO-000374,SKU-08596,2024-08-04,698,SUP-163
PO-000375,SKU-09583,2024-01-07,230,SUP-017
PO-000376,SKU-04385,2024-07-05,493,SUP-089
PO-000377,SKU-00952,2024-04-20,409,SUP-012
PO-000378,SKU-07927,2024-05-11,193,SUP-024
PO-000379,SKU-02078,2024-05-20,570,SUP-007
PO-000380,SKU-08413,2024-08-05,918,SUP-031
PO-000381,SKU-05157,2024-11-20,462,SUP-185
PO-000382,SKU-07425,2024-08-26,77,SUP-159
PO-000383,SKU-04334,2024-07-01,141,SUP-160
PO-000384,SKU-00909,2024-08-10,560,SUP-008
PO-000385,SKU-02599,2024-02-17,640,SUP-133
PO-000386,SKU-05984,2024-11-13,274,SUP-185
PO-000387,SKU-03295,2024-08-13,210,SUP-154
PO-000388,SKU-01925,2024-08-03,391,SUP-085
PO-000389,SKU-08500,2024-07-04,923,SUP-159
PO-000390,SKU-07237,2024-10-15,843,SUP-149
PO-000391,SKU-03195,2024-12-30,439,SUP-174
PO-000392,SKU-07918,2024-06-23,879,SUP-146
PO-000393,SKU-02282,2024-02-01,440,SUP-187
PO-000394,SKU-07771,2024-07-29,963,SUP-059
PO-000395,SKU-00931,2024-12-27,53,SUP-052
PO-000396,SKU-03595,2024-03-09,423,SUP-013
PO-000397,SKU-05211,2024-11-27,488,SUP-001
PO-000398,SKU-02167,2024-07-09,515,SUP-058
PO-000399,SKU-08955,2024-09-30,20,SUP-167
PO-000400,SKU-05216,2024-08-13,975,SUP-053
PO-000401,SKU-05826,2024-09-21,12,SUP-016
PO-000402,SKU-04486,2024-02-26,823,SUP-086
PO-000403,SKU-04658,2024-06-05,219,SUP-047
PO-000404,SKU-00599,2024-03-01,254,SUP-167
PO-000405,SKU-02787,2024-06-15,96,SUP-105
PO-000406,SKU-05146,2024-06-29,145,SUP-131
PO-000407,SKU-01505,2024-08-30,776,SUP-076
PO-000408,SKU-04568,2024-07-03,814,SUP-192
PO-000409,SKU-09460,2024-12-28,93,SUP-178
PO-000410,SKU-06802,2024-07-10,439,SUP-038
PO-000411,SKU-04155,2024-08-10,962,SUP-018
PO-000412,SKU-04229,2024-05-09,507,SUP-082
PO-000413,SKU-06918,2024-12-31,434,SUP-124
PO-000414,SKU-02021,2024-05-19,920,SUP-077
PO-000415,SKU-04366,2024-10-19,877,SUP-074
PO-000416,SKU-04849,2024-10-08,177,SUP-039
PO-000417,SKU-06262,2024-11-25,745,SUP-158
PO-000418,SKU-04458,2024-07-14,258,SUP-130
PO-000419,SKU-05864,2024-09-27,259,SUP-014
PO-000420,SKU-06182,2024-06-18,287,SUP-132
PO-000421,SKU-07627,2024-02-05,819,SUP-126
PO-000422,SKU-01642,2024-01-21,575,SUP-143
PO-000423,SKU-02013,2024-04-22,306,SUP-084
PO-000424,SKU-09326,2024-02-02,721,SUP-039
PO-000425,SKU-08188,2024-04-23,273,SUP-033
PO-000426,SKU-08688,2024-07-08,123,SUP-132
PO-000427,SKU-07158,2024-07-06,356,SUP-033
PO-000428,SKU-03928,2024-03-20,680,SUP-165
PO-000429,SKU-03178,2024-01-15,404,SUP-065
PO-000430,SKU-03147,2024-02-05,83,SUP-170
PO-000431,SKU-03727,2024-01-07,957,SUP-046
PO-000432,SKU-00952,2024-09-06,878,SUP-030
PO-000433,SKU-00343,2024-05-16,444,SUP-134
PO-000434,SKU-08068,2024-06-03,856,SUP-190
PO-000435,SKU-06722,2024-05-15,532,SUP-177
PO-000436,SKU-00488,2024-08-30,944,SUP-007
PO-000437,SKU-01267,2024-01-17,556,SUP-071
PO-000438,SKU-00288,2024-01-31,636,SUP-171
PO-000439,SKU-07974,2024-12-14,562,SUP-054
PO-000440,SKU-06002,2024-09-14,254,SUP-097
PO-000441,SKU-06587,2024-03-06,624,SUP-074
PO-000442,SKU-06312,2024-01-17,60,SUP-050
PO-000443,SKU-05530,2024-10-11,193,SUP-148
PO-000444,SKU-01758,2024-01-28,963,SUP-188
PO-000445,SKU-07707,2024-07-26,575,SUP-160
PO-000446,SKU-05500,2024-09-04,471,SUP-069
PO-000447,SKU-04047,2024-07-31,842,SUP-032
PO-000448,SKU-09960,2024-09-03,527,SUP-020
PO-000449,SKU-08275,2024-09-23,981,SUP-042
PO-000450,SKU-02801,2024-05-19,806,SUP-060
PO-000451,SKU-06345,2024-04-04,425,SUP-175
PO-000452,SKU-00392,2024-05-08,948,SUP-078
PO-000453,SKU-07278,2024-11-16,452,SUP-055
PO-000454,SKU-09400,2024-05-05,273,SUP-009
PO-000455,SKU-05806,2024-02-07,471,SUP-120
PO-000456,SKU-06219,2024-11-30,467,SUP-129
PO-000457,SKU-08590,2024-03-12,463,SUP-018
PO-000458,SKU-03815,2024-06-25,123,SUP-104
PO-000459,SKU-03378,2024-07-29,596,SUP-129
PO-000460,SKU-00040,2024-02-21,248,SUP-003
PO-000461,SKU-03196,2024-05-09,298,SUP-184
PO-000462,SKU-08027,2024-09-11,485,SUP-067
PO-000463,SKU-07531,2024-02-26,142,SUP-163
PO-000464,SKU-05979,2024-08-12,453,SUP-124
PO-000465,SKU-01617,2024-11-27,522,SUP-039
PO-000466,SKU-02580,2024-08-24,376,SUP-133
PO-000467,SKU-04499,2024-03-30,163,SUP-125
PO-000468,SKU-08360,2024-05-22,352,SUP-175
PO-000469,SKU-08445,2024-07-07,82,SUP-014
PO-000470,SKU-02859,2024-07-26,811,SUP-012
PO-000471,SKU-04117,2024-08-06,602,SUP-043
PO-000472,SKU-02543,2024-11-27,902,SUP-138
PO-000473,SKU-02894,2024-02-29,780,SUP-050
PO-000474,SKU-06569,2024-07-05,47,SUP-021
PO-000475,SKU-03433,2024-06-22,736,SUP-056
PO-000476,SKU-02490,2024-12-11,133,SUP-128
PO-000477,SKU-07287,2024-06-22,718,SUP-083
PO-000478,SKU-03286,2024-01-16,612,SUP-138
PO-000479,SKU-01780,2024-02-22,354,SUP-004
PO-000480,SKU-00343,2024-10-10,876,SUP-106
PO-000481,SKU-02041,2024-05-02,39,SUP-035
PO-000482,SKU-01647,2024-08-08,130,SUP-007
PO-000483,SKU-02951,2024-07-17,42,SUP-041
PO-000484,SKU-04857,2024-06-24,745,SUP-130
PO-000485,SKU-00757,2024-06-28,392,SUP-116
PO-000486,SKU-03638,2024-05-06,667,SUP-147
PO-000487,SKU-04515,2024-10-29,698,SUP-013
PO-000488,SKU-03038,2024-11-18,735,SUP-117
PO-000489,SKU-00991,2024-05-13,337,SUP-014
PO-000490,SKU-07008,2024-04-13,446,SUP-006
PO-000491,SKU-03933,2024-06-29,62,SUP-136
PO-000492,SKU-02077,2024-03-20,211,SUP-047
PO-000493,SKU-08346,2024-04-13,970,SUP-072
PO-000494,SKU-07559,2024-05-03,577,SUP-031
PO-000495,SKU-01022,2024-12-14,853,SUP-137
PO-000496,SKU-07087,2024-01-31,685,SUP-130
PO-000497,SKU-08556,2024-08-23,919,SUP-026
PO-000498,SKU-05313,2024-07-16,832,SUP-116
